generation,label_bal,color_bal
0,0.685,0.442
1,0.608,0.547
2,0.603,0.501
3,0.582,0.529
4,0.549,0.507
5,0.555,0.499
6,0.561,0.486
7,0.581,0.492
8,0.543,0.452
9,0.561,0.46
10,0.57,0.44
11,0.602,0.457
12,0.69,0.47
13,0.7,0.495
14,0.747,0.477
15,0.769,0.513
16,0.772,0.501
17,0.743,0.478
18,0.815,0.555
19,0.793,0.492
20,0.823,0.523
21,0.854,0.546
22,0.837,0.498
23,0.881,0.532
24,0.892,0.556
25,0.886,0.502
26,0.882,0.481
27,0.906,0.545
28,0.893,0.502
29,0.919,0.488
30,0.933,0.512
31,0.918,0.468
32,0.914,0.496
33,0.952,0.515
34,0.931,0.532
35,0.966,0.529
36,0.947,0.536
37,0.943,0.481
38,0.972,0.518
39,0.978,0.515
0,0.68,0.45
1,1.0,0.0
2,1.0,0.0
3,1.0,0.0
4,1.0,0.0
0,0.61,0.46
1,0.56,0.53
2,0.6,0.45
3,0.48,0.44
4,0.49,0.53
5,0.49,0.42
6,0.43,0.49
7,0.5,0.46
8,0.37,0.47
9,0.39,0.47
10,0.41,0.57
11,0.49,0.5
12,0.4,0.45
13,0.47,0.51
14,0.45,0.45
15,0.5,0.52
16,0.51,0.51
17,0.46,0.52
18,0.47,0.47
19,0.41,0.49
20,0.44,0.49
21,0.48,0.49
22,0.37,0.56
23,0.44,0.47
24,0.38,0.41
25,0.44,0.58
26,0.32,0.39
27,0.35,0.5
28,0.28,0.46
29,0.36,0.42
30,0.24,0.5
31,0.31,0.4
32,0.28,0.44
33,0.23,0.51
34,0.26,0.44
35,0.27,0.46
36,0.22,0.52
37,0.35,0.5
38,0.34,0.51
39,0.3,0.46
