generation,epoch,gen_loss
0,0,81706.02799147002
0,10,27267.32102997449
0,20,26358.087312659438
1,0,67052.2186702806
1,10,31821.33932557398
1,20,31352.604412468114
2,0,70927.10887675383
2,10,34129.171954719386
2,20,33731.150520169
3,0,74844.00892857143
3,10,35614.7369658801
3,20,35423.327845982145
4,0,69565.85485092475
4,10,36890.294423628824
4,20,36680.19688695791
5,0,76353.66392299107
5,10,38113.08705357143
5,20,37839.1985809949
6,0,74477.03501674107
6,10,38692.20131138393
6,20,38551.8076171875
7,0,68309.16912468112
7,10,39796.653818558676
7,20,39719.15539301658
8,0,70265.57334183673
8,10,40777.753886320155
8,20,40727.43955277424
9,0,68786.02413504464
9,10,40552.93349410076
9,20,40528.23842075893
10,0,67029.92745535714
10,10,41476.70862563775
10,20,41446.84606186225
11,0,71059.32794563138
11,10,42077.485271843114
11,20,42055.83336654975
12,0,67793.13655931123
12,10,42884.11342075893
12,20,42853.320133131376
13,0,74462.210678412
13,10,42926.17715640944
13,20,42865.29986447704
14,0,74153.28009406888
14,10,43922.857421875
14,20,43749.07969945791
15,0,75167.2741151148
15,10,43857.31285873725
15,20,43818.361248405614
16,0,71782.65868144133
16,10,43417.599430006376
16,20,43393.67253268495
17,0,67372.220703125
17,10,42927.227758290814
17,20,42894.07015306123
18,0,66650.37671396683
18,10,42358.86555325255
18,20,42381.1835538903
19,0,64953.07942044005
19,10,42755.294483418365
19,20,42737.831812021686
20,0,69335.4715999681
20,10,43255.85825892857
20,20,43249.29430404975
21,0,69492.83824936225
21,10,43412.533422353314
21,20,43403.6637236926
22,0,69078.28224649235
22,10,42916.26223692602
22,20,42900.462352519135
23,0,66213.19543207908
23,10,43409.88105867347
23,20,43409.24069276148
24,0,67533.58476163902
24,10,43225.39088408801
24,20,43204.54524075255
25,0,69599.4713408801
25,10,43252.743383290814
25,20,43240.420161033166
26,0,66287.40754544004
26,10,43661.336475605865
26,20,43646.04827008928
27,0,70697.34875239158
27,10,43966.587153220666
27,20,43971.06770169005
28,0,72127.75966597577
28,10,44126.47837611607
28,20,44118.962352519135
29,0,68114.4405094069
29,10,43557.49286511479
29,20,43516.36750637755
30,0,68896.92797353317
30,10,43066.50641741072
30,20,43054.56604751275
31,0,68849.54380580357
31,10,43360.89056521046
31,20,43390.40708705357
32,0,67838.1797672194
32,10,43428.967075892855
32,20,43414.61549346301
33,0,68565.396225287
33,10,43568.300083705355
33,20,43537.62709263393
34,0,70665.71177455357
34,10,44184.20079320791
34,20,44192.32724808674
35,0,67704.29601801658
35,10,44471.237802933676
35,20,44464.41966278699
36,0,69662.56943558673
36,10,44564.323222257655
36,20,44547.5735809949
37,0,70077.54081632652
37,10,45464.64596619898
37,20,45467.1041533801
38,0,66269.2448182398
38,10,45959.91519850127
38,20,45945.369220344386
39,0,69814.56465242348
39,10,45526.25771285076
39,20,45535.04625717475
0,0,81702.72606425383
0,10,27263.725770288584
0,20,26363.59662488042
1,0,67703.19457509567
1,10,31869.393205915178
1,20,31366.331662547833
2,0,74206.23979591837
2,10,34079.27307876275
2,20,33639.727489237885
3,0,73408.77381616709
3,10,35892.260303730865
3,20,35663.48983577806
4,0,73242.98848054848
4,10,37399.230966996176
4,20,37213.3516023597
5,0,77086.92338966837
5,10,38420.375478316324
5,20,38202.99958147322
6,0,72312.35544882015
6,10,39405.02676578444
6,20,39170.89443160076
7,0,66619.75428491709
7,10,39732.785634566324
7,20,39675.70884486607
8,0,72178.45099250638
8,10,40964.393056441324
8,20,40936.3603117028
9,0,69747.61212531888
9,10,41593.46051897322
9,20,41516.498584980865
10,0,68958.19158561862
10,10,42013.30648118623
10,20,41859.407724808676
11,0,71983.20904416454
11,10,42320.84693877551
11,20,42233.911930006376
12,0,69353.06343670281
12,10,43585.864437181124
12,20,43556.324437978314
13,0,76522.99808673469
13,10,43991.88151705995
13,20,43936.89146205357
14,0,76039.98001036352
14,10,44974.06311782525
14,20,44934.72130102041
15,0,76467.09097975127
15,10,44366.657405931124
15,20,44328.51893335459
16,0,73917.41641422194
16,10,44533.715601084186
16,20,44501.196727519135
17,0,69215.16663345025
17,10,43992.60819913903
17,20,43971.971440529334
18,0,67522.34781568877
18,10,43629.997289540814
18,20,43588.945591517855
19,0,67382.33221061862
19,10,44298.57565369898
19,20,44262.2923309949
20,0,72421.25478316327
20,10,44682.241908482145
20,20,44642.33099489796
21,0,70340.241928412
21,10,44503.9534638074
21,20,44449.0511200574
22,0,73122.32898198342
22,10,45384.01337292729
22,20,45358.11102917729
23,0,68407.23810188138
23,10,45632.2542450574
23,20,45597.091617506376
24,0,70999.10939492985
24,10,45987.65246332908
24,20,45966.387157206635
25,0,72182.44288105867
25,10,45887.215601084186
25,20,45885.71849091199
26,0,68368.85915577169
26,10,45659.87278778699
26,20,45655.89273756377
27,0,72689.25940688775
