generation,label_bal,color_bal
0,0.543,0.493
1,0.607,0.47
2,0.601,0.518
3,0.579,0.575
4,0.58,0.554
5,0.585,0.536
6,0.576,0.542
7,0.572,0.504
8,0.578,0.507
9,0.616,0.474
10,0.624,0.523
11,0.617,0.496
12,0.679,0.479
13,0.688,0.508
14,0.7,0.504
15,0.739,0.492
16,0.795,0.488
17,0.823,0.493
18,0.848,0.501
19,0.842,0.482
20,0.849,0.533
21,0.854,0.51
22,0.843,0.529
23,0.842,0.494
24,0.865,0.497
25,0.816,0.481
26,0.831,0.497
27,0.804,0.461
28,0.849,0.518
29,0.832,0.493
0,0.545,0.491
1,0.572,0.519
2,0.613,0.538
3,0.596,0.573
4,0.571,0.562
5,0.577,0.558
6,0.582,0.554
7,0.595,0.506
8,0.609,0.545
9,0.591,0.504
10,0.617,0.523
11,0.638,0.494
12,0.669,0.48
13,0.703,0.481
14,0.688,0.495
15,0.735,0.517
16,0.819,0.525
17,0.814,0.498
18,0.841,0.502
19,0.843,0.479
20,0.847,0.497
21,0.85,0.483
22,0.844,0.553
23,0.85,0.513
24,0.849,0.508
25,0.834,0.475
26,0.814,0.513
27,0.802,0.469
28,0.817,0.5
29,0.835,0.487
0,0.545,0.491
1,0.572,0.519
2,0.613,0.538
3,0.596,0.573
4,0.571,0.562
5,0.577,0.558
6,0.582,0.554
7,0.595,0.506
8,0.609,0.545
9,0.591,0.504
10,0.617,0.523
11,0.638,0.494
12,0.669,0.48
13,0.703,0.481
14,0.688,0.495
15,0.735,0.517
16,0.819,0.525
17,0.814,0.498
18,0.841,0.502
19,0.843,0.479
20,0.847,0.497
21,0.85,0.483
22,0.844,0.553
23,0.85,0.513
24,0.849,0.508
25,0.834,0.475
26,0.814,0.513
27,0.802,0.469
28,0.817,0.5
29,0.835,0.487
0,0.545,0.491
1,0.572,0.519
2,0.613,0.538
3,0.596,0.573
4,0.571,0.562
5,0.577,0.558
6,0.582,0.554
7,0.595,0.506
8,0.609,0.545
9,0.591,0.504
10,0.617,0.523
11,0.638,0.494
12,0.669,0.48
13,0.703,0.481
14,0.688,0.495
15,0.735,0.517
16,0.819,0.525
17,0.814,0.498
18,0.841,0.502
19,0.843,0.479
20,0.847,0.497
21,0.85,0.483
22,0.844,0.553
23,0.85,0.513
24,0.849,0.508
25,0.834,0.475
26,0.814,0.513
27,0.802,0.469
28,0.817,0.5
29,0.835,0.487
0,0.545,0.491
1,0.572,0.519
2,0.613,0.538
3,0.596,0.573
4,0.571,0.562
5,0.577,0.558
6,0.582,0.554
7,0.595,0.506
8,0.609,0.545
9,0.591,0.504
10,0.617,0.523
11,0.638,0.494
12,0.669,0.48
13,0.703,0.481
14,0.688,0.495
15,0.735,0.517
16,0.819,0.525
17,0.814,0.498
18,0.841,0.502
19,0.843,0.479
20,0.847,0.497
21,0.85,0.483
22,0.844,0.553
23,0.85,0.513
24,0.849,0.508
25,0.834,0.475
26,0.814,0.513
27,0.802,0.469
28,0.817,0.5
29,0.835,0.487
0,0.545,0.491
1,0.572,0.519
2,0.613,0.538
3,0.596,0.573
4,0.571,0.562
5,0.577,0.558
6,0.582,0.554
7,0.595,0.506
8,0.609,0.545
9,0.591,0.504
10,0.617,0.523
11,0.638,0.494
12,0.669,0.48
13,0.703,0.481
14,0.688,0.495
15,0.735,0.517
16,0.819,0.525
17,0.814,0.498
18,0.841,0.502
19,0.843,0.479
20,0.847,0.497
21,0.85,0.483
22,0.844,0.553
23,0.85,0.513
24,0.849,0.508
25,0.834,0.475
26,0.814,0.513
27,0.802,0.469
28,0.817,0.5
29,0.835,0.487
0,0.545,0.491
1,0.572,0.519
2,0.613,0.538
3,0.596,0.573
4,0.571,0.562
5,0.577,0.558
6,0.582,0.554
7,0.595,0.506
8,0.609,0.545
9,0.591,0.504
10,0.617,0.523
11,0.638,0.494
12,0.669,0.48
13,0.703,0.481
14,0.688,0.495
15,0.735,0.517
16,0.819,0.525
17,0.814,0.498
18,0.841,0.502
19,0.843,0.479
20,0.847,0.497
21,0.85,0.483
22,0.844,0.553
23,0.85,0.513
24,0.849,0.508
25,0.834,0.475
26,0.814,0.513
27,0.802,0.469
28,0.817,0.5
29,0.835,0.487
30,0.82,0.512
31,0.822,0.5
32,0.829,0.506
33,0.836,0.522
34,0.829,0.501
35,0.824,0.486
36,0.831,0.505
37,0.839,0.507
38,0.808,0.497
39,0.818,0.49
0,0.546,0.493
1,0.566,0.5
2,0.586,0.531
3,0.575,0.539
4,0.561,0.544
5,0.578,0.55
6,0.56,0.486
7,0.567,0.495
8,0.588,0.505
9,0.604,0.51
10,0.634,0.483
11,0.648,0.483
12,0.654,0.502
13,0.668,0.5
14,0.681,0.513
15,0.71,0.522
16,0.724,0.484
17,0.738,0.486
18,0.767,0.501
19,0.744,0.5
20,0.75,0.503
21,0.773,0.476
22,0.784,0.445
23,0.763,0.495
24,0.778,0.519
25,0.782,0.507
26,0.813,0.519
27,0.805,0.497
28,0.801,0.485
29,0.793,0.483
30,0.838,0.468
31,0.825,0.505
32,0.831,0.504
33,0.831,0.471
34,0.836,0.48
35,0.826,0.511
36,0.807,0.518
37,0.81,0.51
38,0.823,0.515
39,0.807,0.49
