generation,label_bal,color_bal
0,0.424,0.519
1,0.42,0.478
2,0.432,0.499
3,0.42,0.506
4,0.38,0.472
5,0.423,0.474
6,0.443,0.477
7,0.419,0.489
8,0.484,0.488
9,0.487,0.501
10,0.494,0.52
11,0.509,0.504
12,0.568,0.46
13,0.593,0.499
14,0.567,0.478
15,0.606,0.496
16,0.562,0.502
17,0.592,0.485
18,0.603,0.495
19,0.533,0.51
20,0.575,0.509
21,0.54,0.504
22,0.536,0.462
23,0.534,0.501
24,0.561,0.494
25,0.6,0.469
26,0.617,0.488
27,0.558,0.498
28,0.565,0.515
29,0.618,0.504
30,0.566,0.498
31,0.584,0.502
32,0.572,0.501
33,0.594,0.484
34,0.637,0.509
35,0.623,0.507
36,0.543,0.491
37,0.556,0.494
38,0.637,0.492
39,0.664,0.511
40,0.687,0.489
