generation,epoch,resampled,c0g0,c0g1,c1g0,c1g1
1,0,9,31,14,26,9
1,0,13,24,12,37,7
1,0,16,24,8,40,8
1,0,17,29,11,36,4
1,0,10,17,19,38,6
1,0,12,28,13,32,7
1,0,13,32,14,29,5
1,0,16,20,11,44,5
1,0,9,14,19,38,9
1,0,9,19,16,38,7
1,0,14,29,14,33,4
1,0,7,22,18,31,9
1,0,17,31,10,34,5
1,0,14,26,12,36,6
1,0,11,20,8,39,13
1,0,11,26,13,33,8
1,0,8,20,14,36,10
1,0,13,22,22,33,3
1,0,10,25,20,29,6
1,0,14,22,11,40,7
1,0,10,17,16,41,6
1,0,12,25,13,35,7
1,0,15,25,12,38,5
1,0,15,27,13,36,4
1,0,13,29,16,32,3
1,0,13,23,18,36,3
1,0,9,20,16,37,7
1,0,13,23,14,38,5
1,0,12,25,19,32,4
1,0,12,21,16,39,4
1,0,16,30,7,34,9
1,0,13,22,16,39,3
1,0,13,19,12,42,7
1,0,16,22,12,42,4
1,0,10,25,16,33,6
1,0,14,23,12,39,6
1,0,13,29,16,32,3
1,0,8,23,15,33,9
1,0,15,26,13,37,4
1,0,14,24,11,38,7
1,0,13,22,16,39,3
1,0,14,24,10,38,8
1,0,11,24,13,35,8
1,0,11,25,14,34,7
1,0,10,24,15,34,7
1,0,14,20,15,42,3
1,0,16,23,12,41,4
1,0,12,26,13,34,7
1,0,13,27,21,29,3
1,0,13,21,12,40,7
1,0,10,25,14,33,8
1,0,9,23,12,34,11
1,0,13,31,14,30,5
1,0,7,23,16,32,9
1,0,11,19,19,37,5
1,0,15,25,12,38,5
1,0,11,27,13,32,8
1,0,16,24,9,40,7
1,0,7,22,15,33,10
1,0,6,26,16,28,10
1,0,11,27,18,30,5
1,0,8,20,18,34,8
1,0,13,22,13,39,6
1,0,9,22,14,35,9
1,0,18,26,8,40,6
1,0,13,20,17,40,3
1,0,14,26,11,36,7
1,0,15,31,12,32,5
1,0,17,27,9,38,6
1,0,7,26,9,28,17
1,0,10,24,14,34,8
1,0,9,32,15,25,8
1,0,8,18,13,38,11
1,0,14,25,18,35,2
1,0,11,21,15,38,6
1,0,17,32,11,33,4
1,0,8,21,15,35,9
1,0,11,22,19,34,5
1,0,9,24,16,33,7
1,0,12,26,17,33,4
1,0,14,27,12,35,6
1,0,10,27,18,29,6
1,0,10,27,13,31,9
1,0,17,24,10,41,5
1,0,16,29,12,35,4
1,0,7,26,16,29,9
1,0,13,23,8,38,11
1,0,8,19,14,37,10
1,0,14,34,9,28,9
1,0,13,23,10,38,9
1,0,18,27,10,39,4
1,0,9,20,18,35,7
1,0,16,26,11,38,5
1,0,9,24,15,33,8
1,0,14,28,9,34,9
1,0,13,27,14,34,5
1,0,12,24,14,36,6
1,0,11,23,17,35,5
1,0,20,30,8,38,4
1,0,4,20,17,31,12
1,0,11,23,14,36,7
1,0,13,18,13,43,6
1,0,9,25,13,32,10
1,0,11,28,14,31,7
1,0,12,22,15,38,5
1,0,10,25,13,33,9
1,0,10,30,16,28,6
1,0,13,25,9,36,10
1,0,14,23,15,39,3
1,0,12,20,14,40,6
1,0,9,22,17,34,7
1,0,9,23,19,31,7
1,0,11,25,13,34,8
1,0,15,28,14,35,3
1,0,13,23,17,37,3
1,0,19,27,6,40,7
1,0,13,25,11,36,8
1,0,10,21,15,37,7
1,0,7,19,16,36,9
1,0,6,20,18,32,10
1,0,8,19,19,34,8
1,0,10,23,16,35,6
1,0,17,30,12,35,3
1,0,13,32,16,29,3
1,0,9,20,17,36,7
1,0,15,29,6,34,11
1,0,13,28,13,33,6
1,0,10,18,15,40,7
1,0,16,26,9,38,7
1,0,10,25,18,31,6
1,0,14,26,12,36,6
1,0,14,28,9,34,9
1,0,16,29,8,35,8
1,0,20,29,7,39,5
1,0,14,29,10,33,8
1,0,15,28,11,35,6
1,0,12,17,11,43,9
1,0,12,26,15,34,5
