generation,label_bal,color_bal
0,0.64,0.46
1,0.66,0.42
2,0.66,0.36
3,0.6,0.44
4,0.75,0.29
5,0.74,0.24
6,0.71,0.29
7,0.65,0.4
8,0.78,0.26
9,0.74,0.28
10,0.69,0.31
11,0.75,0.22
12,0.73,0.33
13,0.7,0.26
14,0.82,0.26
15,0.7,0.31
16,0.73,0.24
17,0.63,0.3
18,0.68,0.24
19,0.67,0.28
20,0.54,0.18
21,0.61,0.28
22,0.59,0.2
23,0.61,0.32
24,0.51,0.33
24,0.65,0.21
25,0.48,0.24
26,0.59,0.28
27,0.46,0.32
28,0.58,0.34
29,0.42,0.31
30,0.56,0.27
31,0.41,0.23
32,0.52,0.31
0,0.59,0.45
1,0.71,0.4
2,0.79,0.32
3,0.89,0.34
4,0.83,0.35
4,0.8,0.31
5,0.83,0.34
6,0.79,0.29
7,0.81,0.31
8,0.85,0.22
9,0.81,0.33
10,0.87,0.33
11,0.85,0.23
12,0.93,0.29
13,0.97,0.24
14,0.96,0.29
15,0.95,0.23
16,0.93,0.22
17,0.99,0.25
18,0.96,0.23
19,0.95,0.25
20,0.96,0.27
21,0.93,0.27
22,0.94,0.22
23,0.96,0.31
24,0.98,0.27
25,0.99,0.26
26,0.99,0.23
27,0.98,0.25
28,0.98,0.25
29,0.98,0.17
30,0.99,0.18
31,0.96,0.18
32,1.0,0.24
33,1.0,0.22
34,1.0,0.22
35,1.0,0.24
36,0.99,0.31
37,0.99,0.35
38,0.99,0.2
39,1.0,0.28
