generation,label_bal,color_bal
0,0.56,0.495
1,0.533,0.496
2,0.539,0.495
3,0.562,0.484
4,0.537,0.504
5,0.548,0.488
6,0.55,0.519
7,0.55,0.521
8,0.526,0.499
9,0.524,0.487
10,0.51,0.501
11,0.538,0.513
12,0.555,0.47
13,0.518,0.49
14,0.533,0.5
15,0.506,0.5
16,0.533,0.492
17,0.539,0.496
18,0.541,0.513
19,0.521,0.487
20,0.522,0.539
21,0.54,0.5
22,0.545,0.492
23,0.543,0.521
24,0.572,0.53
25,0.545,0.504
26,0.541,0.525
27,0.568,0.492
28,0.576,0.472
29,0.568,0.523
30,0.57,0.48
31,0.565,0.516
32,0.576,0.511
33,0.557,0.505
34,0.575,0.522
35,0.568,0.503
36,0.556,0.525
37,0.549,0.47
38,0.542,0.53
39,0.55,0.481
40,0.554,0.499
