proba_0,proba_1,generation
0.99918985,0.9972653,0
0.9970725,0.99759746,1
0.9980661,0.9969556,2
0.9978259,0.9977555,3
0.99804235,0.9967188,4
0.9962998,0.99868053,5
0.9968655,0.99536973,6
0.99565434,0.9973784,7
0.99762785,0.99634457,8
0.9980817,0.9959143,9
0.9990207,0.99807626,10
0.9968963,0.99699694,11
0.99708533,0.9976207,12
0.9960046,0.9963957,13
0.9959227,0.9968625,14
0.9973303,0.9959377,15
0.9965278,0.99563396,16
0.9944096,0.9954194,17
0.99706066,0.99820834,18
0.99650073,0.9980498,19
0.99795747,0.99747854,20
0.99723256,0.99532235,21
0.99632365,0.99738204,22
0.99694824,0.9963505,23
0.99590945,0.99689275,24
0.9967639,0.9977834,25
0.9982607,0.99860823,26
0.99623895,0.9962607,27
0.9980203,0.9975389,28
0.99499285,0.99723595,29
0.99911636,0.9928398,30
0.9986417,0.9959032,31
0.99673885,0.9959105,32
0.9979888,0.99852633,33
0.998355,0.997096,34
0.9980339,0.99775034,35
0.9972717,0.99377936,36
0.99819976,0.9986475,37
0.99693143,0.99675184,38
0.9947191,0.9944352,39
0.99817634,0.9985006,40
