generation,epoch,resampled,c0g0,c0g1,c1g0,c1g1
1,0,15,44,13,19,4
1,0,19,51,12,16,1
1,0,14,46,13,16,5
1,0,21,49,11,20,0
1,0,18,50,13,16,1
1,0,25,47,6,26,1
1,0,15,47,16,16,1
1,0,21,51,8,18,3
1,0,20,52,11,15,2
1,0,22,49,9,21,1
1,0,28,56,2,20,2
1,0,19,50,13,17,0
1,0,22,54,9,15,2
1,0,20,50,10,18,2
1,0,15,44,19,16,1
1,0,26,58,9,13,0
1,0,18,41,12,25,2
1,0,20,44,11,24,1
1,0,21,53,11,16,0
1,0,24,56,9,15,0
1,0,18,46,13,20,1
1,0,17,49,15,15,1
1,0,18,46,10,20,4
1,0,22,51,8,19,2
1,0,17,44,14,21,1
1,0,24,56,11,11,2
1,0,21,53,10,16,1
1,0,21,49,7,20,4
1,0,19,47,11,20,2
1,0,24,48,7,24,1
1,0,20,52,11,16,1
1,0,21,53,10,16,1
1,0,21,51,10,18,1
1,0,22,54,12,14,0
1,0,16,42,14,22,2
1,0,18,48,12,18,2
1,0,17,47,14,18,1
1,0,20,51,11,17,1
1,0,23,53,8,18,1
1,0,20,51,11,17,1
1,0,25,52,7,21,0
1,0,18,50,15,14,1
1,0,21,45,8,24,3
1,0,22,54,9,14,3
1,0,23,53,8,18,1
1,0,21,52,8,17,3
1,0,23,51,5,20,4
1,0,15,47,15,15,3
1,0,16,48,15,12,5
1,0,22,54,13,12,1
1,0,15,36,14,27,3
1,0,19,51,12,15,2
1,0,17,47,13,18,2
1,0,17,46,15,19,0
1,0,18,47,12,19,2
1,0,18,50,12,16,2
1,0,21,49,9,20,2
1,0,19,44,8,23,5
1,0,20,52,13,14,1
1,0,25,56,5,17,2
1,0,22,53,7,17,3
1,0,18,50,15,14,1
1,0,23,45,9,26,0
1,0,22,50,7,20,3
1,0,22,47,8,23,2
1,0,19,51,13,12,4
1,0,17,49,14,13,4
1,0,20,50,12,18,0
1,0,18,45,13,21,1
1,0,25,47,6,26,1
1,0,18,48,13,18,1
1,0,15,42,18,19,1
1,0,25,50,7,23,0
1,0,20,51,11,17,1
1,0,13,42,18,17,3
1,0,19,51,11,16,2
1,0,20,48,9,20,3
1,0,22,50,10,20,0
1,0,22,48,8,22,2
1,0,14,42,15,20,3
1,0,17,49,14,16,1
1,0,19,49,12,18,1
1,0,16,44,14,20,2
1,0,23,55,9,14,2
1,0,19,51,11,15,3
1,0,16,48,10,16,6
1,0,27,59,8,13,0
1,0,20,47,12,21,0
1,0,18,46,11,20,3
1,0,21,51,11,18,0
1,0,16,48,14,16,2
1,0,23,53,8,18,1
1,0,19,51,13,14,2
1,0,20,51,11,17,1
1,0,20,52,10,15,3
1,0,21,51,11,18,0
1,0,15,47,16,16,1
1,0,15,44,18,17,1
1,0,20,46,10,22,2
1,0,20,52,11,15,2
1,0,20,52,10,16,2
1,0,16,48,16,14,2
1,0,21,52,11,17,0
1,0,22,50,7,20,3
1,0,18,40,12,26,2
1,0,20,51,11,17,1
1,0,18,48,11,18,3
1,0,20,47,11,21,1
1,0,20,48,8,20,4
1,0,17,42,13,23,2
1,0,16,45,13,19,3
1,0,13,42,18,17,3
1,0,21,50,9,19,2
1,0,22,50,9,20,1
1,0,16,45,15,19,1
1,0,15,42,15,21,2
1,0,22,54,12,13,1
1,0,16,47,13,17,3
1,0,14,41,19,18,2
1,0,13,44,17,15,4
1,0,27,54,5,21,0
1,0,20,51,11,17,1
1,0,21,49,9,20,2
1,0,17,47,12,18,3
1,0,18,42,11,24,3
1,0,17,47,11,18,4
1,0,22,54,11,15,0
1,0,24,51,6,21,2
1,0,18,47,11,19,3
1,0,21,51,10,18,1
1,0,15,45,14,18,3
1,0,21,50,11,19,0
1,0,24,52,8,20,0
1,0,20,50,9,18,3
1,0,23,53,4,18,5
1,0,18,50,14,16,0
1,0,18,47,19,13,1
1,0,23,49,7,22,2
1,0,16,47,15,17,1
1,0,25,57,7,15,1
1,0,18,48,11,18,3
1,0,23,52,8,19,1
1,0,22,54,10,14,2
1,0,16,46,15,18,1
1,0,24,49,8,23,0
1,0,24,46,5,26,3
1,0,16,48,16,15,1
1,0,21,50,9,19,2
1,0,24,55,6,17,2
1,0,21,53,10,13,4
1,0,22,53,9,17,1
1,0,22,54,14,12,0
1,0,22,46,9,24,1
1,0,21,53,12,14,1
1,0,17,48,17,12,3
1,0,19,51,12,15,2
1,0,20,48,12,20,0
1,0,22,47,10,23,0
1,0,17,47,12,18,3
1,0,14,42,16,20,2
1,0,18,47,13,19,1
1,0,20,52,12,16,0
1,0,20,51,11,17,1
1,0,21,53,15,9,3
1,0,19,51,13,15,1
1,0,23,55,7,16,2
1,0,23,50,9,21,0
1,0,16,43,14,21,2
1,0,24,51,6,21,2
1,0,21,53,13,13,1
1,0,23,55,12,11,2
1,0,19,48,11,19,2
1,0,24,53,7,19,1
1,0,26,58,9,12,1
1,0,22,47,9,23,1
1,0,15,47,14,16,3
1,0,26,51,5,23,1
1,0,17,47,12,18,3
1,0,19,51,10,16,3
1,0,15,45,18,16,1
1,0,18,45,12,21,2
1,0,26,55,6,19,0
1,0,20,52,16,11,1
1,0,17,45,13,20,2
1,0,23,55,7,15,3
1,0,18,50,15,13,2
1,0,17,49,12,16,3
1,0,20,52,11,15,2
1,0,18,50,10,16,4
1,0,21,49,9,20,2
1,0,20,45,11,23,1
1,0,17,46,11,19,4
1,0,17,49,16,13,2
1,0,18,47,10,19,4
1,0,23,51,8,20,1
1,0,16,46,18,15,1
1,0,20,47,9,21,3
1,0,26,53,2,21,4
1,0,16,45,14,19,2
1,0,28,60,8,12,0
1,0,18,50,12,16,2
1,0,18,42,13,24,1
1,0,18,45,13,21,1
1,0,18,46,13,20,1
1,0,23,55,10,14,1
1,0,17,49,14,12,5
1,0,21,48,7,21,4
1,0,21,53,12,15,0
1,0,25,57,10,13,0
1,0,15,47,14,16,3
1,0,18,50,11,16,3
1,0,17,49,15,16,0
1,0,24,56,13,11,0
1,0,21,53,11,13,3
1,0,21,53,9,16,2
1,0,15,47,15,16,2
1,0,17,49,15,14,2
1,0,28,60,9,9,2
1,0,25,57,6,14,3
1,0,27,58,5,17,0
1,0,13,39,15,22,4
1,0,25,57,9,12,2
1,0,26,58,10,11,1
1,0,22,52,8,18,2
1,0,19,44,12,23,1
1,0,17,48,14,17,1
1,0,20,50,10,18,2
1,0,24,55,6,17,2
1,0,21,50,8,19,3
1,0,17,48,12,17,3
1,0,20,49,11,19,1
1,0,17,49,15,15,1
1,0,19,51,14,14,1
1,0,23,51,9,20,0
1,0,19,48,12,19,1
1,0,23,52,9,19,0
1,0,17,49,12,15,4
1,0,22,54,10,13,3
1,0,17,49,14,16,1
1,0,20,52,12,14,2
1,0,19,45,11,22,2
1,0,27,58,5,17,0
1,0,18,50,9,16,5
1,0,19,44,10,23,3
1,0,22,54,10,16,0
1,0,20,52,14,14,0
1,0,21,53,10,16,1
1,0,26,58,6,15,1
1,0,23,50,9,21,0
1,0,22,49,9,21,1
1,0,17,49,13,16,2
1,0,18,49,13,17,1
1,0,12,44,16,16,4
1,0,24,56,9,14,1
1,0,17,49,14,16,1
1,0,19,51,12,14,3
1,0,22,49,9,21,1
1,0,15,47,14,16,3
1,0,24,56,11,12,1
1,0,13,37,17,23,3
1,0,21,50,10,19,1
1,0,23,53,7,18,2
1,0,19,51,11,13,5
1,0,20,50,9,18,3
1,0,19,48,13,19,0
1,0,19,51,8,16,5
1,0,23,49,7,22,2
1,0,16,48,13,16,3
1,0,23,47,8,24,1
1,0,17,48,11,17,4
1,0,24,48,5,24,3
1,0,25,57,8,14,1
1,0,19,46,9,21,4
1,0,19,51,15,13,1
1,0,20,52,12,16,0
1,0,22,53,10,17,0
1,0,22,52,8,18,2
1,0,28,60,7,10,3
1,0,23,49,8,22,1
1,0,23,55,9,15,1
1,0,15,47,13,16,4
1,0,20,49,19,11,1
1,0,26,58,9,11,2
1,0,16,42,19,19,0
1,0,19,50,11,17,2
1,0,22,54,8,15,3
1,0,16,47,13,17,3
1,0,16,43,14,21,2
1,0,22,41,9,29,1
1,0,25,54,6,19,1
1,0,20,50,8,18,4
1,0,16,44,14,20,2
1,0,23,53,7,18,2
1,0,19,51,16,12,1
1,0,26,58,8,14,0
1,0,21,53,7,16,4
1,0,26,58,9,13,0
1,0,19,49,12,18,1
1,0,20,52,11,16,1
1,0,19,45,13,22,0
1,0,20,51,11,17,1
1,0,17,49,14,15,2
1,0,22,49,8,21,2
1,0,17,49,13,15,3
1,0,24,53,8,19,0
1,0,21,46,9,23,2
1,0,18,48,13,18,1
1,0,17,43,15,22,0
1,0,18,46,10,20,4
1,0,18,48,14,18,0
1,0,14,39,18,21,2
1,0,21,51,11,18,0
1,0,17,48,12,17,3
1,0,17,47,12,18,3
1,0,24,53,8,19,0
1,0,14,39,16,23,2
1,0,19,50,13,17,0
1,0,22,43,6,27,4
1,0,15,45,16,18,1
1,0,16,43,12,21,4
1,0,27,59,4,14,3
1,0,14,42,16,20,2
1,0,22,54,9,15,2
1,0,19,50,10,17,3
1,0,18,42,13,24,1
1,0,20,42,11,26,1
1,0,19,48,9,19,4
1,0,19,51,11,16,2
1,0,18,50,15,14,1
1,0,19,44,7,23,6
1,0,21,49,10,20,1
1,0,24,56,12,12,0
1,0,19,50,12,17,1
1,0,21,53,13,14,0
1,0,25,54,6,19,1
1,0,14,36,15,26,3
1,0,16,48,13,16,3
1,0,18,50,13,14,3
1,0,17,46,13,19,2
1,0,19,50,11,17,2
1,0,19,45,11,22,2
1,0,19,46,9,21,4
1,0,21,53,11,16,0
1,0,24,56,10,14,0
1,0,16,43,14,21,2
1,0,24,50,8,22,0
1,0,18,48,11,18,3
1,0,22,54,9,13,4
1,0,24,56,11,12,1
1,0,26,58,8,13,1
1,0,17,48,12,17,3
1,0,19,46,11,21,2
1,0,26,58,6,16,0
1,0,19,48,11,19,2
1,0,19,44,12,23,1
1,0,18,50,12,16,2
1,0,16,48,14,16,2
1,0,22,51,8,19,2
1,0,17,41,14,24,1
1,0,26,58,6,14,2
1,0,22,54,9,15,2
1,0,16,48,16,15,1
1,0,20,45,9,23,3
1,0,22,49,9,21,1
1,0,18,50,12,16,2
1,0,26,49,6,25,0
1,0,21,50,9,19,2
1,0,20,50,11,18,1
1,0,18,44,13,22,1
1,0,16,44,17,19,0
1,0,22,53,9,17,1
1,0,20,48,12,20,0
1,0,19,51,13,14,2
1,0,17,47,15,18,0
1,0,23,53,8,18,1
1,0,13,40,16,21,3
1,0,20,52,12,15,1
1,0,24,56,6,15,3
1,0,21,48,21,10,1
1,0,19,50,11,17,2
1,0,24,51,5,21,3
1,0,21,53,13,14,0
1,0,16,47,16,17,0
1,0,16,48,15,16,1
1,0,20,51,9,17,3
1,0,23,55,12,13,0
1,0,21,52,11,17,0
1,0,17,43,14,22,1
1,0,20,47,12,21,0
1,0,14,44,17,17,2
1,0,26,58,8,14,0
