generation,label_bal,color_bal
0,0.52,0.498
1,0.496,0.531
2,0.532,0.518
3,0.568,0.504
4,0.585,0.532
5,0.654,0.506
6,0.675,0.533
7,0.678,0.523
8,0.717,0.519
9,0.754,0.541
10,0.772,0.551
11,0.823,0.54
12,0.811,0.547
13,0.803,0.555
14,0.803,0.545
15,0.786,0.565
16,0.795,0.557
17,0.8,0.54
18,0.81,0.514
19,0.796,0.543
20,0.787,0.549
21,0.799,0.575
22,0.827,0.551
23,0.826,0.576
24,0.836,0.574
25,0.866,0.565
26,0.847,0.549
27,0.876,0.556
28,0.861,0.598
29,0.871,0.581
30,0.847,0.591
31,0.872,0.584
32,0.905,0.561
33,0.877,0.595
34,0.894,0.589
35,0.898,0.603
36,0.884,0.607
37,0.896,0.615
38,0.898,0.628
39,0.9,0.621
