generation,label_bal,color_bal
0,0.49,0.48
1,0.47,0.538
2,0.502,0.536
3,0.534,0.545
4,0.636,0.526
5,0.721,0.562
6,0.737,0.567
7,0.751,0.535
8,0.797,0.527
9,0.844,0.543
10,0.842,0.551
11,0.864,0.564
12,0.88,0.538
13,0.892,0.563
14,0.91,0.547
15,0.907,0.533
16,0.942,0.539
17,0.962,0.508
18,0.959,0.536
19,0.944,0.543
20,0.964,0.521
21,0.958,0.535
22,0.971,0.518
23,0.967,0.527
24,0.97,0.534
25,0.973,0.503
26,0.979,0.503
27,0.976,0.523
28,0.983,0.506
29,0.987,0.54
30,0.982,0.513
31,0.99,0.536
32,0.986,0.539
33,0.994,0.518
34,0.987,0.508
35,0.994,0.541
36,0.989,0.547
37,0.992,0.525
38,0.997,0.522
39,0.995,0.519
