proba_0,proba_1,generation
0.99413174,0.99718624,0
0.99310684,0.98967654,1
0.989165,0.99122626,2
0.9878184,0.9912788,3
0.9800917,0.98443437,4
0.9829139,0.9840642,5
0.9796819,0.98091835,6
0.9783292,0.98564774,7
0.97987336,0.9804426,8
0.9800969,0.98097664,9
0.9766149,0.9770477,10
0.9753725,0.97092396,11
0.98194057,0.97799927,12
0.97379094,0.976793,13
0.9759582,0.9755693,14
0.9774423,0.97284204,15
0.9684217,0.97715306,16
0.9735103,0.9754684,17
0.96935594,0.98277307,18
0.9709556,0.972611,19
0.96940666,0.97391284,20
0.97105926,0.97620016,21
0.9654436,0.97332495,22
0.96353674,0.9669201,23
0.96824574,0.96382254,24
0.9615309,0.96827304,25
0.96998745,0.9742943,26
0.9625775,0.9636616,27
0.95788807,0.96902883,28
0.96230155,0.97245544,29
0.9578626,0.9673708,30
0.9707468,0.9667574,31
0.96042144,0.96370953,32
0.96330464,0.96161586,33
0.9647909,0.9601659,34
0.9635057,0.96860623,35
0.95300347,0.96489173,36
0.959432,0.96343225,37
0.95054805,0.9527863,38
0.9589648,0.9590548,39
