generation,label_bal,color_bal
0,0.431,0.483
1,0.457,0.526
2,0.363,0.548
3,0.335,0.552
4,0.275,0.569
5,0.297,0.53
6,0.223,0.548
7,0.233,0.556
8,0.187,0.568
9,0.19,0.546
10,0.199,0.533
11,0.173,0.529
12,0.164,0.532
13,0.15,0.555
14,0.152,0.564
15,0.162,0.534
16,0.154,0.565
17,0.157,0.571
18,0.182,0.555
19,0.184,0.555
20,0.183,0.574
21,0.188,0.566
22,0.224,0.518
23,0.215,0.56
24,0.284,0.543
25,0.247,0.566
26,0.228,0.573
27,0.251,0.554
28,0.251,0.551
29,0.246,0.522
30,0.246,0.56
31,0.255,0.539
32,0.231,0.546
33,0.236,0.557
34,0.239,0.519
35,0.211,0.539
36,0.21,0.51
37,0.21,0.532
38,0.223,0.509
39,0.214,0.508
