generation,epoch,gen_loss
0,0,78062.4800253109
1,0,79798.8209901148
2,0,71443.6497528699
3,0,70394.3134765625
4,0,68730.99513711735
5,0,67682.5667051977
6,0,63792.55333227041
7,0,65386.24980070153
8,0,62850.32858338648
9,0,62513.017040019135
10,0,66161.22913345025
11,0,67740.4769013074
12,0,66128.11941964286
13,0,66800.915756537
14,0,66219.73732461735
15,0,67942.78477758291
16,0,67322.87238919004
17,0,63862.172413105865
18,0,67519.56732302296
19,0,67156.18706154337
20,0,68707.48455436862
21,0,67894.6754424426
22,0,68335.3255341199
23,0,69206.78445870536
24,0,68318.25185347577
25,0,65068.87994260204
26,0,69061.61519451531
27,0,66689.86128826531
28,0,67324.88889110331
29,0,67927.51745854592
30,0,68526.04647640306
31,0,67616.83258928571
32,0,66328.74356265944
33,0,65378.92217394771
34,0,67772.12906568877
35,0,65852.25049824617
36,0,67225.68441087373
37,0,69159.35997289541
38,0,67941.64443160077
39,0,69317.18640385842
