proba_0,proba_1,generation
0.9974741,0.9979341,0
0.9921144,0.99213755,1
0.9930026,0.98499423,2
0.9865399,0.99069583,3
0.98629045,0.98807466,4
0.9872151,0.9778888,5
0.98406464,0.9873556,6
0.98148865,0.9846432,7
0.9840362,0.97311866,8
0.97816646,0.9792138,9
0.9733774,0.9780379,10
0.97805256,0.9822049,11
0.97351646,0.9743072,12
0.97435725,0.9773833,13
0.97093606,0.97103864,14
0.9775771,0.97398823,15
0.9708789,0.97514266,16
0.97325206,0.97645104,17
0.9783333,0.9730596,18
0.96610284,0.9720484,19
0.9690772,0.96664286,20
0.97531986,0.9707367,21
0.95620245,0.9765534,22
0.970926,0.9711597,23
0.96606433,0.96590364,24
0.9645597,0.9649337,25
0.9539592,0.9624024,26
0.96497345,0.9694262,27
0.9549561,0.96983874,28
0.9567127,0.97501594,29
0.9531323,0.96234095,30
0.95495284,0.97248447,31
0.9597702,0.96909523,32
0.95758545,0.9659276,33
0.9625222,0.97029436,34
0.9595144,0.9676399,35
0.96446574,0.96718824,36
0.95684594,0.96411544,37
0.95643777,0.9636337,38
0.9540003,0.9579404,39
