generation,label_bal,color_bal
0,0.534,0.5
1,0.577,0.54
2,0.544,0.547
3,0.613,0.536
4,0.619,0.532
5,0.614,0.551
6,0.626,0.53
7,0.648,0.51
8,0.614,0.547
9,0.649,0.512
10,0.667,0.506
11,0.665,0.48
12,0.689,0.506
13,0.723,0.475
14,0.751,0.5
15,0.771,0.487
16,0.783,0.514
17,0.755,0.493
18,0.769,0.469
19,0.776,0.461
20,0.775,0.492
21,0.784,0.469
22,0.779,0.481
23,0.785,0.515
24,0.783,0.493
25,0.798,0.518
26,0.815,0.523
27,0.802,0.518
28,0.776,0.494
0,0.577,0.525
1,0.567,0.527
2,0.571,0.529
3,0.589,0.531
4,0.595,0.546
5,0.588,0.526
6,0.632,0.543
7,0.626,0.534
8,0.624,0.523
9,0.609,0.516
10,0.652,0.515
11,0.636,0.515
12,0.724,0.497
13,0.721,0.495
14,0.751,0.521
15,0.743,0.5
16,0.786,0.508
17,0.756,0.489
18,0.763,0.485
19,0.786,0.509
20,0.749,0.469
21,0.773,0.481
22,0.795,0.51
23,0.79,0.504
24,0.765,0.486
25,0.784,0.506
26,0.774,0.478
27,0.777,0.481
28,0.793,0.506
0,0.577,0.525
1,0.567,0.527
2,0.571,0.529
3,0.589,0.531
4,0.595,0.546
5,0.588,0.526
6,0.632,0.543
7,0.626,0.534
8,0.624,0.523
9,0.609,0.516
10,0.652,0.515
11,0.636,0.515
12,0.724,0.497
13,0.721,0.495
14,0.751,0.521
15,0.743,0.5
16,0.786,0.508
17,0.756,0.489
18,0.763,0.485
19,0.786,0.509
20,0.749,0.469
21,0.773,0.481
22,0.795,0.51
23,0.79,0.504
24,0.765,0.486
25,0.784,0.506
26,0.774,0.478
27,0.777,0.481
28,0.793,0.506
0,0.577,0.525
1,0.567,0.527
2,0.571,0.529
3,0.589,0.531
4,0.595,0.546
5,0.588,0.526
6,0.632,0.543
7,0.626,0.534
8,0.624,0.523
9,0.609,0.516
10,0.652,0.515
11,0.636,0.515
12,0.724,0.497
13,0.721,0.495
14,0.751,0.521
15,0.743,0.5
16,0.786,0.508
17,0.756,0.489
18,0.763,0.485
19,0.786,0.509
20,0.749,0.469
21,0.773,0.481
22,0.795,0.51
23,0.79,0.504
24,0.765,0.486
25,0.784,0.506
26,0.774,0.478
27,0.777,0.481
28,0.793,0.506
0,0.577,0.525
1,0.567,0.527
2,0.571,0.529
3,0.589,0.531
4,0.595,0.546
5,0.588,0.526
6,0.632,0.543
7,0.626,0.534
8,0.624,0.523
9,0.609,0.516
10,0.652,0.515
11,0.636,0.515
12,0.724,0.497
13,0.721,0.495
14,0.751,0.521
15,0.743,0.5
16,0.786,0.508
17,0.756,0.489
18,0.763,0.485
19,0.786,0.509
20,0.749,0.469
21,0.773,0.481
22,0.795,0.51
23,0.79,0.504
24,0.765,0.486
25,0.784,0.506
26,0.774,0.478
27,0.777,0.481
28,0.793,0.506
0,0.577,0.525
1,0.567,0.527
2,0.571,0.529
3,0.589,0.531
4,0.595,0.546
5,0.588,0.526
6,0.632,0.543
7,0.626,0.534
8,0.624,0.523
9,0.609,0.516
10,0.652,0.515
11,0.636,0.515
12,0.724,0.497
13,0.721,0.495
14,0.751,0.521
15,0.743,0.5
16,0.786,0.508
17,0.756,0.489
18,0.763,0.485
19,0.786,0.509
20,0.749,0.469
21,0.773,0.481
22,0.795,0.51
23,0.79,0.504
24,0.765,0.486
25,0.784,0.506
26,0.774,0.478
27,0.777,0.481
28,0.793,0.506
0,0.577,0.525
1,0.567,0.527
2,0.571,0.529
3,0.589,0.531
4,0.595,0.546
5,0.588,0.526
6,0.632,0.543
7,0.626,0.534
8,0.624,0.523
9,0.609,0.516
10,0.652,0.515
11,0.636,0.515
12,0.724,0.497
13,0.721,0.495
14,0.751,0.521
15,0.743,0.5
16,0.786,0.508
17,0.756,0.489
18,0.763,0.485
19,0.786,0.509
20,0.749,0.469
21,0.773,0.481
22,0.795,0.51
23,0.79,0.504
24,0.765,0.486
25,0.784,0.506
26,0.774,0.478
27,0.777,0.481
28,0.793,0.506
29,0.825,0.526
30,0.802,0.519
31,0.804,0.514
32,0.786,0.483
33,0.789,0.503
34,0.771,0.489
35,0.782,0.519
36,0.782,0.485
37,0.801,0.515
38,0.798,0.502
39,0.785,0.487
0,0.531,0.5
1,0.553,0.543
2,0.582,0.573
3,0.598,0.53
4,0.601,0.548
5,0.648,0.534
6,0.664,0.505
7,0.674,0.523
8,0.66,0.498
9,0.661,0.507
10,0.704,0.505
11,0.726,0.507
12,0.71,0.506
13,0.759,0.527
14,0.805,0.518
15,0.818,0.521
16,0.866,0.516
17,0.871,0.501
18,0.884,0.496
19,0.912,0.512
20,0.919,0.48
21,0.919,0.48
22,0.921,0.509
23,0.937,0.508
24,0.932,0.503
25,0.943,0.512
26,0.954,0.492
27,0.94,0.506
28,0.932,0.494
29,0.948,0.521
30,0.946,0.511
31,0.963,0.482
32,0.964,0.522
33,0.961,0.504
34,0.959,0.509
35,0.961,0.514
36,0.965,0.509
37,0.963,0.488
38,0.966,0.513
39,0.966,0.502
