generation,label_bal,color_bal
0,0.491,0.518
1,0.551,0.49
2,0.543,0.485
3,0.576,0.484
4,0.626,0.526
5,0.649,0.497
6,0.66,0.507
7,0.739,0.505
8,0.777,0.484
9,0.83,0.46
10,0.867,0.476
11,0.907,0.502
12,0.926,0.518
13,0.967,0.49
14,0.983,0.489
15,0.992,0.48
16,0.995,0.488
17,0.993,0.532
18,0.998,0.5
19,1.0,0.49
20,1.0,0.503
21,1.0,0.51
22,1.0,0.501
23,1.0,0.488
24,1.0,0.466
25,1.0,0.499
26,1.0,0.473
27,1.0,0.475
28,1.0,0.501
29,1.0,0.486
30,1.0,0.487
31,1.0,0.481
32,1.0,0.488
33,1.0,0.49
34,1.0,0.461
35,1.0,0.501
36,1.0,0.474
37,1.0,0.495
38,1.0,0.472
39,1.0,0.5
