generation,label_bal,color_bal
0,0.55,0.52
1,0.56,0.44
2,0.61,0.54
3,0.6,0.52
4,0.76,0.41
5,0.75,0.59
6,0.8,0.53
7,0.84,0.49
8,0.91,0.46
9,0.87,0.5
10,0.82,0.52
11,0.86,0.49
12,0.9,0.46
13,0.89,0.52
14,0.9,0.47
15,0.9,0.54
16,0.87,0.5
17,0.91,0.49
18,0.91,0.55
19,0.93,0.58
20,0.91,0.53
21,0.94,0.59
22,0.95,0.61
23,0.95,0.56
24,0.99,0.54
25,0.98,0.49
26,1.0,0.51
27,1.0,0.52
28,1.0,0.63
29,1.0,1.0
30,1.0,1.0
31,1.0,1.0
32,1.0,1.0
33,1.0,1.0
34,1.0,1.0
35,1.0,1.0
36,1.0,1.0
37,1.0,1.0
38,1.0,1.0
39,1.0,1.0
