generation,label_bal,color_bal
0,1.0,0.0
1,1.0,0.0
0,0.64,0.466
1,0.69,0.479
2,0.673,0.495
3,0.636,0.496
4,0.634,0.492
5,0.63,0.494
6,0.631,0.491
7,0.653,0.481
8,0.638,0.471
9,0.638,0.485
10,0.606,0.501
11,0.609,0.504
12,0.644,0.485
13,0.631,0.5
14,0.664,0.496
15,0.669,0.479
16,0.696,0.487
17,0.678,0.487
18,0.662,0.476
19,0.698,0.449
20,0.662,0.451
21,0.654,0.486
22,0.661,0.475
23,0.679,0.484
24,0.655,0.492
25,0.677,0.478
26,0.676,0.469
27,0.652,0.518
28,0.638,0.51
29,0.682,0.461
30,0.621,0.507
31,0.624,0.507
32,0.599,0.507
33,0.639,0.481
34,0.64,0.467
35,0.61,0.486
36,0.604,0.499
0,0.763,0.418
1,0.753,0.448
2,0.745,0.459
3,0.784,0.458
4,0.796,0.454
0,0.732,0.459
0,0.732,0.459
1,0.726,0.486
1,0.726,0.486
2,0.77,0.468
2,0.77,0.468
3,0.794,0.44
3,0.794,0.44
4,0.824,0.426
4,0.824,0.426
5,0.842,0.45
5,0.842,0.45
6,0.827,0.452
6,0.816,0.452
7,0.838,0.434
7,0.838,0.434
8,0.85,0.464
8,0.83,0.464
9,0.867,0.452
9,0.795,0.452
10,0.878,0.421
10,0.813,0.421
11,0.861,0.472
11,0.798,0.472
12,0.854,0.476
12,0.816,0.476
13,0.846,0.451
13,0.795,0.451
14,0.828,0.452
14,0.787,0.452
15,0.811,0.473
15,0.772,0.473
16,0.846,0.441
16,0.786,0.441
17,0.876,0.457
17,0.789,0.457
18,0.88,0.47
18,0.756,0.47
19,0.846,0.468
19,0.766,0.468
20,0.881,0.45
20,0.793,0.45
21,0.874,0.445
21,0.805,0.445
22,0.888,0.449
22,0.768,0.449
23,0.881,0.429
23,0.778,0.429
24,0.867,0.491
24,0.729,0.491
25,0.873,0.435
25,0.773,0.435
26,0.9,0.448
26,0.819,0.448
27,0.874,0.464
27,0.782,0.464
28,0.881,0.474
28,0.77,0.474
29,0.881,0.478
29,0.745,0.478
30,0.896,0.452
30,0.773,0.452
31,0.877,0.48
31,0.747,0.48
32,0.895,0.445
32,0.767,0.445
33,0.888,0.465
33,0.773,0.465
34,0.859,0.457
34,0.756,0.457
35,0.878,0.429
35,0.791,0.429
36,0.875,0.463
36,0.775,0.463
37,0.885,0.425
37,0.764,0.425
38,0.865,0.461
38,0.738,0.461
39,0.883,0.466
39,0.728,0.466
40,0.865,0.439
40,0.772,0.439
0,0.51,0.41
1,0.56,0.4
2,0.7,0.41
3,0.52,0.46
4,0.68,0.44
5,0.68,0.46
6,0.55,0.43
7,0.63,0.5
8,0.52,0.45
9,0.68,0.39
10,0.62,0.42
0,0.66,0.45
11,0.57,0.4
1,0.64,0.47
12,0.62,0.39
2,0.51,0.54
13,0.52,0.46
3,0.61,0.43
14,0.56,0.49
4,0.57,0.58
15,0.56,0.43
5,0.6,0.38
16,0.61,0.38
6,0.55,0.48
17,0.5,0.54
7,0.51,0.51
18,0.59,0.42
8,0.53,0.53
19,0.65,0.37
9,0.68,0.4
20,0.63,0.4
10,0.66,0.5
21,0.52,0.45
11,0.7,0.47
22,0.59,0.41
12,0.63,0.56
23,0.5,0.46
13,0.71,0.44
24,0.56,0.46
14,0.66,0.49
25,0.46,0.48
15,0.63,0.51
26,0.44,0.54
16,0.61,0.49
27,0.52,0.47
17,0.67,0.5
28,0.5,0.4
18,0.61,0.47
29,0.52,0.36
19,0.61,0.54
30,0.5,0.35
20,0.61,0.47
31,0.35,0.48
21,0.58,0.47
32,0.42,0.38
22,0.61,0.45
33,0.43,0.45
23,0.53,0.47
34,0.43,0.42
24,0.49,0.54
35,0.33,0.47
25,0.54,0.47
36,0.25,0.52
26,0.52,0.55
37,0.35,0.41
27,0.69,0.44
28,0.54,0.47
38,0.39,0.41
29,0.59,0.42
39,0.42,0.43
30,0.54,0.46
40,0.4,0.46
31,0.69,0.44
32,0.54,0.49
33,0.61,0.46
34,0.6,0.51
35,0.65,0.5
36,0.64,0.37
37,0.49,0.49
38,0.57,0.43
39,0.57,0.47
40,0.42,0.4
0,0.63,0.4
0,0.68,0.44
1,0.57,0.46
2,0.6,0.52
3,0.65,0.39
4,0.57,0.55
5,0.69,0.38
6,0.64,0.48
7,0.6,0.51
0,0.58,0.42
1,0.53,0.44
2,0.43,0.53
3,0.49,0.4
4,0.46,0.55
5,0.56,0.38
6,0.46,0.45
7,0.45,0.49
8,0.37,0.5
9,0.55,0.38
10,0.44,0.46
11,0.42,0.47
12,0.45,0.48
13,0.45,0.4
14,0.5,0.43
15,0.5,0.46
16,0.42,0.47
17,0.5,0.46
18,0.51,0.45
19,0.51,0.47
20,0.51,0.46
21,0.54,0.46
22,0.55,0.43
23,0.55,0.43
24,0.48,0.5
25,0.52,0.46
26,0.45,0.5
27,0.56,0.43
28,0.52,0.47
29,0.57,0.41
30,0.56,0.41
31,0.56,0.41
32,0.5,0.49
33,0.55,0.43
34,0.51,0.48
35,0.54,0.43
36,0.63,0.34
37,0.48,0.47
38,0.57,0.39
39,0.57,0.41
40,0.42,0.54
