generation,epoch,gen_loss
0,0,81244.91057477679
1,0,71835.87595663265
2,0,69131.94899952169
3,0,71262.994399713
4,0,68427.9251434949
5,0,66994.65971779337
6,0,67798.76775749362
7,0,66619.35933514031
8,0,66845.90744579081
9,0,65032.251415019135
10,0,65252.74109135842
11,0,64009.052973533166
12,0,65884.75245137117
13,0,64227.02997448979
14,0,60849.15070950255
15,0,65458.37318638393
16,0,62996.803272480865
17,0,64313.895328443876
18,0,63716.7125518176
19,0,65252.525151466834
20,0,66381.75667649873
21,0,64461.48258131377
22,0,62547.857242506376
23,0,60444.09004304847
24,0,62840.16669323979
25,0,61130.20914381377
26,0,64150.66737085459
27,0,65448.927295918365
28,0,67452.04442362883
29,0,64470.74938217475
30,0,63787.66882573342
31,0,64688.854930644135
32,0,67860.39154177296
33,0,63034.36344068877
34,0,62620.85507015306
35,0,66438.02915736607
36,0,65715.38169642857
37,0,62052.14831792092
38,0,61849.305943080355
39,0,62760.070073341834
