generation,label_bal,color_bal
0,0.635,0.522
1,0.677,0.476
2,0.722,0.504
3,0.763,0.491
4,0.816,0.465
5,0.825,0.471
6,0.852,0.504
7,0.878,0.483
8,0.907,0.488
9,0.907,0.513
10,0.922,0.504
11,0.949,0.472
12,0.948,0.491
13,0.98,0.486
14,0.975,0.49
15,0.981,0.469
16,0.979,0.514
17,0.982,0.499
18,0.98,0.496
19,0.987,0.503
20,0.982,0.493
21,0.981,0.493
22,0.988,0.495
23,0.988,0.507
24,0.997,0.481
25,0.995,0.487
26,0.992,0.524
27,0.995,0.528
28,0.996,0.495
29,0.994,0.5
30,0.995,0.508
31,0.996,0.514
32,0.994,0.525
33,0.996,0.503
34,1.0,0.528
35,0.999,0.501
36,0.999,0.55
37,0.999,0.515
38,0.999,0.515
39,1.0,0.511
