generation,label_bal,color_bal
0,0.627,0.523
1,0.652,0.467
2,0.616,0.514
3,0.636,0.54
4,0.611,0.495
5,0.574,0.52
6,0.573,0.492
7,0.59,0.533
8,0.621,0.529
9,0.623,0.48
10,0.566,0.5
11,0.549,0.513
12,0.585,0.51
13,0.575,0.52
14,0.525,0.527
15,0.592,0.493
16,0.56,0.506
17,0.521,0.51
18,0.535,0.478
19,0.558,0.506
20,0.539,0.522
21,0.583,0.521
22,0.516,0.508
23,0.511,0.526
24,0.498,0.524
25,0.475,0.499
26,0.496,0.528
27,0.494,0.493
28,0.53,0.52
29,0.564,0.501
30,0.518,0.516
31,0.541,0.51
32,0.561,0.523
33,0.478,0.481
34,0.495,0.508
35,0.5,0.507
36,0.524,0.515
37,0.525,0.511
38,0.51,0.506
39,0.524,0.475
40,0.525,0.527
