generation,epoch,resampled,c0g0,c0g1,c1g0,c1g1
1,0,14,35,12,27,6
1,0,14,34,16,28,2
1,0,16,34,12,30,4
1,0,14,34,15,28,3
1,0,11,35,14,24,7
1,0,14,33,13,29,5
1,0,10,30,17,27,6
1,0,19,35,7,32,6
1,0,13,32,16,29,3
1,0,12,36,15,24,5
1,0,10,33,17,24,6
1,0,11,29,12,30,9
1,0,14,32,11,30,7
1,0,12,32,12,28,8
1,0,18,30,10,36,4
1,0,12,31,12,29,8
1,0,15,35,13,28,4
1,0,16,35,11,29,5
1,0,14,28,11,34,7
1,0,17,24,8,41,7
1,0,9,29,13,28,10
1,0,12,27,18,31,4
1,0,19,37,10,30,3
1,0,12,37,14,23,6
1,0,11,33,16,26,5
1,0,11,36,13,23,8
1,0,11,31,14,28,7
1,0,12,32,15,28,5
1,0,14,38,12,24,6
1,0,14,33,14,29,4
1,0,13,26,20,31,3
1,0,16,34,10,30,6
1,0,10,25,16,33,6
1,0,10,31,15,27,7
1,0,17,39,13,26,2
1,0,15,41,12,22,5
1,0,17,31,7,34,8
1,0,10,33,15,25,7
1,0,17,33,10,32,5
1,0,15,28,11,35,6
1,0,14,36,11,26,7
1,0,14,35,10,27,8
1,0,7,29,16,26,9
1,0,18,37,8,29,6
1,0,14,31,17,30,2
1,0,19,37,11,30,2
1,0,6,28,16,26,10
1,0,19,29,12,38,1
1,0,13,38,16,23,3
1,0,13,33,15,28,4
1,0,8,31,19,22,8
1,0,13,34,18,25,3
1,0,14,32,10,30,8
1,0,12,33,15,27,5
1,0,20,40,9,28,3
1,0,16,31,13,33,3
1,0,17,29,10,36,5
1,0,11,32,14,27,7
1,0,14,34,11,28,7
1,0,11,38,16,21,5
1,0,10,31,16,27,6
1,0,12,33,14,27,6
1,0,17,33,10,32,5
1,0,15,35,13,28,4
1,0,12,34,21,21,4
1,0,12,33,11,27,9
1,0,12,36,11,24,9
1,0,13,28,13,33,6
1,0,19,30,9,37,4
1,0,16,39,12,25,4
1,0,19,37,8,30,5
1,0,12,39,16,21,4
