proba_0,proba_1,generation
0.99749625,0.99865985,0
0.9919719,0.99350345,1
0.98986244,0.98500216,2
0.9840643,0.9816642,3
0.98336583,0.98701704,4
0.9845843,0.97680044,5
0.984371,0.9886512,6
0.9809691,0.9845726,7
0.98386544,0.97666454,8
0.97486186,0.9852227,9
0.9745952,0.98426694,10
0.9741062,0.9788473,11
0.97519463,0.9778272,12
0.96897745,0.97220284,13
0.9679606,0.9719691,14
0.97677124,0.9739823,15
0.9723705,0.9753135,16
0.9770466,0.97590643,17
0.98067033,0.9760351,18
0.968257,0.97499794,19
0.96712536,0.9690665,20
0.96872306,0.97296375,21
0.9591264,0.97693837,22
0.97534657,0.97334474,23
0.96347284,0.97229296,24
0.97246563,0.9692701,25
0.9663267,0.97831476,26
0.973085,0.9699875,27
0.9694571,0.96876407,28
0.96452665,0.9725066,29
0.96213526,0.96449864,30
0.96640515,0.9743894,31
0.9590688,0.97544783,32
0.965533,0.9739858,33
0.9708099,0.96786815,34
0.96382666,0.9699316,35
0.9655464,0.9693263,36
0.96862715,0.96626616,37
0.96256673,0.9683987,38
0.9636596,0.9617723,39
