generation,epoch,resampled,c0g0,c0g1,c1g0,c1g1
1,0,19,51,13,16,0
1,0,25,57,13,9,1
1,0,22,54,15,10,1
1,0,21,49,20,9,2
1,0,18,48,18,13,1
1,0,27,59,11,10,0
1,0,17,48,15,17,0
1,0,15,45,18,16,1
1,0,23,55,13,12,0
1,0,28,60,10,10,0
1,0,26,58,15,6,1
1,0,24,56,12,12,0
1,0,23,54,8,17,1
1,0,21,51,18,9,2
1,0,16,47,16,17,0
1,0,18,49,12,17,2
1,0,28,60,12,8,0
1,0,24,56,11,12,1
1,0,26,58,11,11,0
1,0,24,56,9,15,0
1,0,14,44,16,18,2
1,0,23,55,15,9,1
1,0,21,53,13,13,1
1,0,20,52,13,14,1
1,0,29,61,8,9,2
1,0,17,45,15,20,0
1,0,21,52,17,10,1
1,0,21,53,12,13,2
1,0,25,57,13,9,1
1,0,23,55,10,15,0
1,0,20,52,12,14,2
1,0,16,45,18,17,0
1,0,26,58,10,11,1
1,0,19,50,17,13,0
1,0,25,57,11,12,0
1,0,22,54,11,14,1
1,0,20,52,12,15,1
1,0,24,56,12,12,0
1,0,24,53,19,8,0
1,0,23,55,13,12,0
1,0,22,54,10,16,0
1,0,26,58,8,11,3
1,0,19,51,15,13,1
1,0,18,50,15,12,3
1,0,27,59,6,15,0
1,0,16,43,16,21,0
1,0,25,57,10,12,1
1,0,23,52,8,19,1
1,0,27,59,11,10,0
1,0,19,50,17,11,2
1,0,27,59,8,12,1
1,0,23,55,13,12,0
1,0,19,51,12,16,1
1,0,26,58,10,11,1
1,0,22,50,9,20,1
1,0,20,52,11,16,1
1,0,14,46,16,15,3
1,0,35,67,7,6,0
1,0,25,51,7,22,0
1,0,19,51,14,15,0
1,0,17,49,16,14,1
1,0,23,55,12,13,0
1,0,22,54,11,14,1
1,0,19,48,19,12,1
1,0,20,52,12,16,0
1,0,25,57,13,10,0
1,0,18,46,13,20,1
1,0,21,51,18,11,0
1,0,22,53,9,17,1
1,0,28,60,7,13,0
1,0,25,57,12,11,0
1,0,22,53,8,17,2
1,0,15,47,15,16,2
1,0,21,51,11,18,0
1,0,19,51,15,11,3
1,0,21,52,11,17,0
1,0,28,60,7,12,1
1,0,21,53,11,14,2
1,0,22,54,11,14,1
1,0,26,58,11,11,0
1,0,28,60,13,7,0
1,0,18,49,13,17,1
1,0,22,54,12,11,3
1,0,16,47,14,17,2
1,0,25,57,9,14,0
1,0,18,50,14,16,0
1,0,25,57,10,11,2
1,0,21,53,12,14,1
1,0,24,56,11,13,0
1,0,19,48,13,19,0
1,0,29,61,6,12,1
1,0,21,53,13,13,1
1,0,23,54,9,17,0
1,0,24,56,12,9,3
1,0,19,49,12,18,1
1,0,20,49,12,19,0
1,0,15,46,17,16,1
1,0,31,63,5,12,0
1,0,19,45,22,12,1
1,0,18,47,19,14,0
1,0,20,52,15,13,0
1,0,17,49,16,12,3
1,0,19,51,16,13,0
1,0,14,45,16,17,2
1,0,22,54,12,11,3
1,0,18,50,15,13,2
1,0,26,58,13,9,0
1,0,20,52,14,12,2
1,0,20,52,13,11,4
1,0,18,49,17,13,1
1,0,17,48,17,14,1
1,0,23,55,11,12,2
1,0,26,58,8,14,0
1,0,26,58,15,6,1
1,0,20,52,13,15,0
1,0,23,54,17,8,1
1,0,23,55,10,15,0
1,0,18,48,18,13,1
1,0,23,55,16,8,1
1,0,24,56,13,10,1
1,0,20,48,11,20,1
1,0,20,52,14,11,3
1,0,21,53,10,15,2
1,0,26,58,9,13,0
1,0,19,48,19,9,4
1,0,20,52,14,13,1
1,0,22,54,13,12,1
1,0,19,51,12,14,3
1,0,24,56,12,10,2
1,0,29,61,8,11,0
1,0,20,50,18,10,2
1,0,30,62,8,8,2
1,0,21,53,10,15,2
1,0,19,48,19,13,0
1,0,16,44,16,20,0
1,0,22,53,17,9,1
1,0,21,53,13,14,0
1,0,19,51,11,15,3
1,0,24,56,8,14,2
1,0,20,52,15,12,1
1,0,18,50,14,14,2
1,0,18,49,17,11,3
1,0,19,45,11,22,2
1,0,22,53,9,17,1
1,0,15,44,19,14,3
1,0,18,49,14,17,0
1,0,21,53,13,14,0
1,0,17,48,12,17,3
1,0,21,53,13,13,1
1,0,15,39,19,21,1
1,0,21,53,15,9,3
1,0,18,49,12,17,2
1,0,22,54,13,12,1
1,0,22,54,11,14,1
1,0,16,47,17,16,0
1,0,19,51,14,13,2
1,0,20,52,14,14,0
1,0,19,51,13,15,1
1,0,22,50,20,10,0
1,0,22,53,17,7,3
1,0,26,58,13,8,1
1,0,21,49,11,20,0
1,0,25,57,7,16,0
1,0,22,54,12,13,1
1,0,20,52,15,13,0
1,0,26,58,10,12,0
1,0,25,57,10,13,0
1,0,26,57,4,17,2
1,0,20,52,13,14,1
1,0,18,47,12,19,2
1,0,17,48,17,14,1
1,0,27,59,6,15,0
