generation,label_bal,color_bal
0,0.619,0.491
1,0.705,0.455
2,0.757,0.471
3,0.824,0.432
4,0.787,0.424
5,0.798,0.426
6,0.795,0.395
7,0.82,0.4
8,0.815,0.378
9,0.812,0.355
10,0.816,0.358
11,0.777,0.374
12,0.788,0.339
13,0.807,0.32
14,0.833,0.3
15,0.861,0.283
16,0.825,0.305
17,0.839,0.304
18,0.86,0.284
19,0.862,0.27
20,0.897,0.23
21,0.906,0.224
22,0.91,0.233
23,0.931,0.204
24,0.918,0.216
25,0.905,0.199
26,0.907,0.196
27,0.945,0.151
28,0.919,0.17
29,0.948,0.141
30,0.958,0.114
31,0.958,0.111
32,0.963,0.106
33,0.978,0.099
34,0.985,0.075
35,0.987,0.069
36,0.991,0.058
0,0.565,0.467
1,0.583,0.413
2,0.539,0.432
3,0.589,0.365
4,0.627,0.337
5,0.657,0.334
6,0.655,0.348
7,0.626,0.341
8,0.659,0.327
9,0.614,0.299
10,0.579,0.298
11,0.621,0.296
12,0.614,0.27
13,0.66,0.25
14,0.666,0.248
15,0.705,0.249
16,0.716,0.238
17,0.734,0.205
18,0.724,0.22
19,0.731,0.207
20,0.738,0.187
21,0.731,0.188
22,0.704,0.185
23,0.683,0.189
24,0.73,0.151
25,0.706,0.17
26,0.733,0.166
27,0.72,0.174
28,0.737,0.153
29,0.723,0.153
30,0.75,0.134
31,0.715,0.132
32,0.702,0.121
33,0.713,0.102
0,0.635,0.451
1,0.722,0.421
2,0.772,0.365
3,0.811,0.352
4,0.817,0.352
5,0.842,0.32
6,0.879,0.299
7,0.877,0.314
8,0.903,0.283
9,0.896,0.267
10,0.908,0.266
11,0.898,0.266
12,0.909,0.249
13,0.903,0.238
14,0.922,0.237
15,0.949,0.199
16,0.939,0.229
17,0.923,0.211
18,0.937,0.221
19,0.947,0.194
20,0.943,0.184
21,0.926,0.194
22,0.912,0.149
23,0.933,0.177
24,0.936,0.149
25,0.91,0.15
26,0.918,0.115
27,0.889,0.134
28,0.889,0.139
29,0.897,0.118
30,0.873,0.121
31,0.895,0.115
32,0.883,0.116
33,0.895,0.103
34,0.897,0.105
35,0.929,0.104
36,0.892,0.118
37,0.915,0.088
38,0.911,0.095
39,0.945,0.099
0,0.63,0.4
1,1.0,0.0
2,1.0,0.0
3,1.0,0.0
4,1.0,1.0
5,1.0,0.0
0,1.0,0.37
1,1.0,0.0
0,1.0,0.58
1,1.0,0.0
0,1.0,0.53
1,1.0,0.0
0,0.71,0.39
1,0.75,0.38
2,0.69,0.42
3,0.75,0.46
4,0.83,0.32
5,0.85,0.29
6,0.73,0.41
7,0.78,0.24
8,0.71,0.25
9,0.69,0.19
10,0.82,0.2
11,0.8,0.22
12,0.8,0.2
13,0.81,0.18
14,0.79,0.13
15,0.74,0.16
16,0.84,0.13
17,0.84,0.13
18,0.81,0.11
19,0.83,0.14
20,0.89,0.1
21,0.78,0.09
22,0.9,0.07
23,0.77,0.11
24,0.84,0.08
25,0.86,0.08
26,0.9,0.06
27,0.91,0.04
28,0.92,0.04
29,0.88,0.04
30,0.91,0.02
31,0.88,0.06
32,0.92,0.07
33,0.96,0.03
34,0.97,0.05
35,0.99,0.01
36,0.98,0.03
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
