generation,epoch,resampled,c0g0,c0g1,c1g0,c1g1
1,0,20,48,8,20,4
1,0,17,43,13,22,2
1,0,17,40,13,25,2
1,0,18,43,14,23,0
1,0,23,49,7,22,2
1,0,24,48,8,24,0
1,0,22,54,11,14,1
1,0,21,51,11,18,0
1,0,16,39,17,24,0
1,0,15,39,17,23,1
1,0,18,46,12,20,2
1,0,16,46,11,18,5
1,0,18,48,18,14,0
1,0,20,52,12,16,0
1,0,20,45,10,23,2
1,0,15,37,20,22,1
1,0,23,52,6,19,3
1,0,16,44,18,18,0
1,0,20,49,11,19,1
1,0,21,49,10,20,1
1,0,17,43,12,22,3
1,0,25,54,6,19,1
1,0,13,44,17,16,3
1,0,21,46,9,23,2
1,0,18,43,12,23,2
1,0,14,40,21,17,2
1,0,18,45,13,21,1
1,0,17,45,12,20,3
1,0,19,45,12,22,1
1,0,16,46,12,18,4
1,0,19,42,13,25,0
1,0,14,45,14,17,4
1,0,16,36,14,28,2
1,0,23,45,9,26,0
1,0,18,41,12,25,2
1,0,19,49,10,18,3
1,0,13,45,16,16,3
1,0,23,46,8,25,1
1,0,20,52,15,13,0
1,0,17,49,12,16,3
1,0,16,38,14,26,2
1,0,13,42,17,18,3
1,0,14,44,18,16,2
1,0,18,50,13,16,1
1,0,21,45,6,24,5
1,0,21,51,10,18,1
1,0,16,42,18,20,0
1,0,18,40,13,26,1
1,0,16,44,15,20,1
1,0,13,37,15,24,4
1,0,20,48,9,20,3
1,0,20,43,9,25,3
1,0,18,48,14,18,0
1,0,18,49,10,17,4
1,0,18,46,13,20,1
1,0,17,49,15,16,0
1,0,16,42,17,21,0
1,0,12,40,18,18,4
1,0,26,46,6,28,0
1,0,14,46,16,16,2
1,0,21,48,8,21,3
1,0,14,46,14,16,4
1,0,22,42,9,28,1
1,0,19,43,10,24,3
1,0,22,50,8,20,2
1,0,17,49,12,16,3
1,0,18,40,14,26,0
1,0,15,43,13,20,4
1,0,15,30,22,27,1
1,0,19,38,12,29,1
1,0,20,50,12,18,0
1,0,21,53,11,14,2
1,0,20,51,17,12,0
1,0,15,43,15,20,2
1,0,13,39,15,22,4
1,0,17,42,13,23,2
1,0,19,51,12,16,1
1,0,20,52,11,15,2
1,0,21,46,9,23,2
1,0,21,41,10,28,1
1,0,22,53,9,17,1
1,0,22,47,6,23,4
1,0,21,50,8,19,3
1,0,19,51,12,15,2
1,0,18,49,14,17,0
1,0,18,50,12,15,3
1,0,19,50,9,17,4
1,0,21,48,9,21,2
1,0,18,40,11,26,3
1,0,18,45,13,21,1
1,0,19,51,14,13,2
1,0,14,43,15,19,3
1,0,24,39,7,33,1
1,0,17,34,15,31,0
1,0,19,45,12,22,1
1,0,20,36,10,32,2
1,0,17,42,15,23,0
1,0,19,43,12,24,1
1,0,15,46,16,17,1
1,0,19,47,13,20,0
1,0,18,45,11,21,3
1,0,17,47,14,18,1
1,0,15,47,16,16,1
1,0,21,49,9,20,2
1,0,17,48,12,17,3
1,0,22,52,9,18,1
1,0,22,41,9,29,1
1,0,18,48,12,18,2
1,0,17,47,13,18,2
1,0,24,47,5,25,3
1,0,20,48,9,20,3
1,0,18,50,13,16,1
1,0,15,44,18,17,1
1,0,16,44,13,20,3
1,0,18,47,13,19,1
1,0,17,48,17,14,1
1,0,16,39,14,25,2
1,0,19,51,14,14,1
1,0,18,48,13,18,1
1,0,16,45,15,19,1
1,0,14,35,20,23,2
1,0,14,37,14,25,4
1,0,21,52,10,17,1
1,0,23,53,9,18,0
1,0,17,43,15,22,0
1,0,19,45,11,22,2
1,0,20,48,12,20,0
1,0,18,43,13,23,1
1,0,24,53,5,19,3
1,0,19,40,12,27,1
1,0,15,36,18,25,1
