proba_0,proba_1,generation
0.9645521,0.8752861,0
0.9645521,0.8752861,0
0.9645521,0.8752861,0
nan,0.7898355,1
0.9645521,0.8752861,0
nan,0.78967685,1
0.9645521,0.8752861,0
nan,0.78967685,1
nan,0.78955704,1
nan,0.7778963,2
nan,0.7779016,2
nan,0.72256064,3
nan,0.72253263,3
nan,0.72253263,3
nan,0.9002113,4
nan,0.7633432,5
0.92077464,0.8619365,0
0.937858,0.87294614,0
0.937858,0.87294614,0
0.91865546,0.70170784,1
0.894319,0.86715156,1
0.91728646,0.7540393,2
0.9181263,0.6557089,2
0.9181263,0.6557089,2
0.9060291,0.7367395,3
0.8664778,nan,4
0.87563956,nan,4
0.87563956,nan,4
0.87563956,nan,4
0.87563956,nan,4
0.87563956,nan,4
0.8930588,nan,5
