generation,label_bal,color_bal
0,0.493,0.526
1,0.527,0.511
2,0.494,0.531
3,0.538,0.519
4,0.561,0.536
5,0.581,0.52
6,0.597,0.554
7,0.617,0.498
8,0.651,0.515
9,0.679,0.518
10,0.695,0.554
11,0.729,0.547
12,0.761,0.523
13,0.761,0.55
14,0.745,0.544
15,0.779,0.552
16,0.775,0.554
17,0.758,0.554
18,0.774,0.534
19,0.779,0.522
20,0.795,0.537
21,0.802,0.554
22,0.778,0.54
23,0.817,0.525
24,0.826,0.521
25,0.846,0.517
26,0.834,0.52
27,0.847,0.503
28,0.866,0.529
29,0.866,0.52
30,0.841,0.519
31,0.861,0.507
32,0.862,0.559
33,0.873,0.53
34,0.865,0.538
35,0.877,0.52
36,0.851,0.537
37,0.895,0.534
38,0.874,0.55
39,0.898,0.562
