generation,label_bal,color_bal
0,0.796,0.428
1,0.809,0.485
2,0.815,0.474
3,0.803,0.482
4,0.848,0.459
5,0.814,0.455
6,0.836,0.45
7,0.828,0.489
8,0.842,0.45
9,0.824,0.437
10,0.834,0.438
11,0.853,0.436
12,0.837,0.412
13,0.836,0.411
14,0.864,0.423
15,0.851,0.406
16,0.843,0.401
17,0.817,0.417
18,0.867,0.386
19,0.883,0.359
20,0.891,0.379
21,0.887,0.373
22,0.89,0.373
23,0.886,0.365
24,0.904,0.366
25,0.907,0.36
26,0.907,0.383
27,0.908,0.34
28,0.919,0.344
29,0.94,0.351
30,0.936,0.334
31,0.93,0.341
32,0.944,0.351
33,0.966,0.32
34,0.963,0.315
35,0.967,0.312
36,0.974,0.318
37,0.98,0.291
38,0.977,0.348
39,0.981,0.318
0,0.61,0.43
0,0.7,0.5
1,1.0,1.0
2,1.0,1.0
3,1.0,1.0
4,1.0,1.0
5,1.0,1.0
6,1.0,1.0
7,1.0,1.0
0,0.5,0.45
1,0.55,0.45
2,0.64,0.39
3,0.72,0.31
4,0.68,0.37
5,0.73,0.27
6,0.71,0.37
7,0.76,0.33
8,0.73,0.32
9,0.75,0.3
10,0.74,0.36
11,0.73,0.29
12,0.75,0.31
13,0.83,0.21
14,0.77,0.23
15,0.81,0.19
16,0.8,0.26
17,0.83,0.25
18,0.76,0.24
19,0.78,0.3
20,0.85,0.16
21,0.77,0.25
22,0.82,0.28
23,0.75,0.27
24,0.73,0.24
25,0.81,0.18
26,0.9,0.16
27,0.86,0.22
28,0.86,0.14
29,0.86,0.26
30,0.86,0.14
31,0.84,0.2
32,0.93,0.15
33,0.82,0.19
34,0.86,0.2
35,0.85,0.16
36,0.87,0.18
37,0.85,0.14
38,0.88,0.16
39,0.85,0.12
