generation,label_bal,color_bal
0,0.623,0.492
1,0.664,0.487
2,0.66,0.494
3,0.675,0.493
4,0.685,0.506
5,0.672,0.477
6,0.695,0.513
7,0.673,0.517
8,0.665,0.485
9,0.646,0.529
10,0.646,0.514
11,0.688,0.503
12,0.695,0.515
13,0.672,0.516
14,0.7,0.459
15,0.695,0.5
16,0.66,0.486
17,0.677,0.479
18,0.681,0.488
19,0.656,0.483
20,0.69,0.513
21,0.655,0.514
22,0.667,0.472
23,0.646,0.497
24,0.655,0.479
25,0.667,0.499
26,0.677,0.482
27,0.692,0.465
28,0.654,0.489
29,0.672,0.51
30,0.668,0.481
31,0.643,0.5
32,0.641,0.493
33,0.651,0.491
34,0.656,0.505
35,0.668,0.517
36,0.676,0.502
37,0.734,0.474
38,0.695,0.508
39,0.715,0.482
