generation,epoch,gen_loss
0,0,76460.87205536512
0,10,27226.43020567602
0,20,26281.092977718432
1,0,78996.72749920281
1,10,32025.070222815688
1,20,31361.825763313136
2,0,82193.90712691327
2,10,34083.71613919005
2,20,33752.47640306123
3,0,73523.08258928571
3,10,35856.785335618624
3,20,35665.062480070155
4,0,76607.6673309949
4,10,37285.5908203125
4,20,37157.621532206635
5,0,72225.6086575255
5,10,38441.45234773597
5,20,38351.49934231505
6,0,71841.7181122449
6,10,39292.63600127551
6,20,39146.274653220666
7,0,67683.13719706633
7,10,39756.4795320472
7,20,39729.4032804528
8,0,75877.85100446429
8,10,40099.23180404975
8,20,40008.312420280614
9,0,70724.50530133929
9,10,41256.51496731505
9,20,41207.23088727678
10,0,71311.09797512754
10,10,41893.01721938775
10,20,41815.5833466199
11,0,70559.18478954081
11,10,41833.343769929845
11,20,41779.160634566324
12,0,73590.29308832908
12,10,42065.98170440051
12,20,42066.479053730865
13,0,72664.03164859694
13,10,42915.58824936225
13,20,42912.96839126275
14,0,72950.26835538902
14,10,43121.10877710459
14,20,42980.8352997449
15,0,64758.43524792729
15,10,43226.502431441324
15,20,43140.662029655614
16,0,66154.12380420919
16,10,42695.6689054528
16,20,42659.470483896686
17,0,66856.14732142857
17,10,42523.80514588648
17,20,42588.29524075255
18,0,69444.15742586098
18,10,42334.965023118624
18,20,42339.92454559949
19,0,68921.963149713
19,10,42343.262615593114
19,20,42267.83607700893
20,0,70354.23883928571
20,10,42044.425342793365
20,20,42001.6094148597
21,0,69079.85628587373
21,10,42066.5091278699
21,20,42070.086435746176
22,0,64641.26253587373
22,10,42655.838647959186
22,20,42664.32806521046
23,0,69135.53515625
23,10,43215.13424744898
23,20,43209.076969068876
24,0,72579.26008450254
24,10,43218.1484375
24,20,43235.87832828444
25,0,72366.94738520408
25,10,42884.00376674107
25,20,42885.47353316326
26,0,64976.726124043365
26,10,42691.26171875
26,20,42657.43991151148
27,0,67373.22161989796
27,10,43186.517099808676
27,20,43128.12587691326
28,0,66711.71265146683
28,10,43342.55201690051
28,20,43365.197185905614
29,0,71197.07276387117
29,10,43317.68863600127
29,20,43315.75255102041
30,0,71901.41723134567
30,10,43656.42346938775
30,20,43647.28378109056
31,0,69987.46113679848
31,10,43813.13091916454
31,20,43776.19005102041
32,0,65192.535953443876
32,10,43336.04703443877
32,20,43308.862125318876
33,0,70707.20752949617
33,10,42940.46940768495
33,20,42929.9345703125
34,0,69803.66296635842
34,10,42814.96496332908
34,20,42817.589604591834
35,0,72811.74509725765
35,10,43500.81074617347
35,20,43458.67562181123
36,0,70918.6731106505
36,10,43054.962153220666
36,20,43062.9410674426
37,0,69730.17713647959
37,10,42727.88651945153
37,20,42730.961375956635
38,0,68045.23586973852
38,10,42469.33974410076
38,20,42487.000757334186
39,0,63835.983219068876
39,10,42277.208087531886
39,20,42264.767598054845
