generation,label_bal,color_bal
0,0.625,0.516
1,0.674,0.495
2,0.735,0.462
3,0.754,0.496
4,0.796,0.502
5,0.792,0.487
6,0.796,0.498
7,0.829,0.539
8,0.865,0.519
9,0.878,0.495
10,0.899,0.481
11,0.932,0.497
12,0.949,0.488
13,0.954,0.511
14,0.975,0.528
15,1.0,0.499
16,1.0,0.511
17,1.0,0.535
18,1.0,0.519
19,1.0,0.518
20,1.0,0.535
21,1.0,0.499
22,1.0,0.52
23,1.0,0.508
24,1.0,0.52
25,1.0,0.496
26,1.0,0.504
27,1.0,0.508
28,1.0,0.495
29,1.0,0.505
30,1.0,0.492
31,1.0,0.495
32,1.0,0.516
33,1.0,0.472
34,1.0,0.484
35,1.0,0.475
36,1.0,0.456
37,1.0,0.475
38,1.0,0.512
39,1.0,0.489
