generation,label_bal,color_bal
0,0.42,0.53
1,0.47,0.43
2,0.41,0.56
3,0.49,0.55
4,0.55,0.49
5,0.55,0.43
6,0.51,0.5
7,0.62,0.57
8,0.85,0.43
9,0.93,0.49
10,0.94,0.53
11,0.94,0.6
12,0.94,0.48
13,0.96,0.49
14,0.97,0.42
15,0.99,0.49
16,0.96,0.43
17,0.95,0.53
18,0.98,0.47
19,1.0,0.43
20,0.99,0.38
21,0.99,0.56
22,1.0,0.45
23,0.98,0.46
24,0.99,0.51
25,0.97,0.55
26,0.98,0.5
27,1.0,0.53
28,1.0,0.56
29,1.0,0.39
30,1.0,0.48
31,0.99,0.42
32,1.0,0.38
33,1.0,0.4
34,1.0,0.35
35,1.0,0.43
36,1.0,0.51
37,1.0,0.43
38,1.0,0.4
39,1.0,0.44
