generation,label_bal,color_bal
0,0.514,0.498
1,0.48,0.528
2,0.501,0.517
3,0.572,0.499
4,0.614,0.525
5,0.592,0.5
6,0.632,0.533
7,0.662,0.517
8,0.692,0.514
9,0.745,0.532
10,0.778,0.544
11,0.81,0.547
12,0.833,0.529
13,0.816,0.565
14,0.809,0.545
15,0.836,0.536
16,0.822,0.551
17,0.831,0.551
18,0.814,0.566
19,0.834,0.577
20,0.84,0.527
21,0.835,0.554
22,0.853,0.533
23,0.872,0.536
24,0.861,0.536
25,0.895,0.536
26,0.877,0.519
27,0.9,0.517
28,0.868,0.52
29,0.878,0.559
30,0.892,0.511
31,0.899,0.557
32,0.915,0.555
33,0.879,0.56
34,0.902,0.559
35,0.913,0.565
36,0.902,0.569
37,0.917,0.576
38,0.92,0.597
39,0.916,0.586
