generation,label_bal,color_bal
0,0.653,0.514
1,0.7,0.494
2,0.749,0.47
3,0.758,0.507
4,0.786,0.506
5,0.819,0.49
6,0.834,0.498
7,0.871,0.538
8,0.891,0.515
9,0.906,0.518
10,0.933,0.487
11,0.935,0.525
12,0.971,0.505
13,0.981,0.494
14,0.99,0.519
15,0.994,0.49
16,1.0,0.492
17,1.0,0.524
18,1.0,0.511
19,1.0,0.502
20,1.0,0.521
21,1.0,0.508
22,1.0,0.509
23,1.0,0.489
24,1.0,0.505
25,1.0,0.503
26,1.0,0.499
27,1.0,0.505
28,1.0,0.522
29,1.0,0.5
30,1.0,0.478
31,1.0,0.488
32,1.0,0.514
33,1.0,0.466
34,1.0,0.47
35,1.0,0.463
36,1.0,0.442
37,1.0,0.458
38,1.0,0.435
39,1.0,0.495
