generation,label_bal,color_bal
0,0.6,0.43
1,0.66,0.33
1,0.63,0.41
2,0.69,0.43
3,0.68,0.45
4,0.76,0.23
5,0.73,0.28
6,0.78,0.26
7,0.79,0.3
8,0.7,0.22
9,0.87,0.27
10,0.76,0.24
11,0.87,0.27
12,0.83,0.24
13,0.86,0.18
14,0.92,0.21
15,0.89,0.22
16,0.84,0.15
17,0.88,0.14
18,0.94,0.17
19,0.97,0.2
20,0.97,0.13
21,0.99,0.12
22,0.98,0.12
23,1.0,0.1
23,0.99,0.14
24,0.99,0.15
25,0.99,0.13
26,1.0,0.14
27,0.99,0.14
28,1.0,0.07
29,1.0,0.1
30,1.0,0.11
31,1.0,0.07
32,0.99,0.03
33,1.0,0.06
34,1.0,0.03
35,1.0,0.07
36,1.0,0.05
37,1.0,0.07
38,1.0,0.02
39,1.0,0.03
39,1.0,0.06
