generation,label_bal,color_bal
0,0.497,0.508
1,0.426,0.517
2,0.448,0.491
3,0.475,0.495
4,0.486,0.538
5,0.454,0.504
6,0.471,0.505
7,0.438,0.488
8,0.442,0.466
9,0.463,0.489
10,0.504,0.49
11,0.509,0.475
12,0.52,0.5
13,0.499,0.499
14,0.487,0.507
15,0.456,0.479
16,0.501,0.46
17,0.504,0.519
18,0.506,0.511
19,0.481,0.495
20,0.524,0.515
21,0.474,0.517
22,0.501,0.514
23,0.499,0.495
24,0.506,0.486
25,0.54,0.476
26,0.5,0.522
27,0.489,0.489
28,0.506,0.492
29,0.478,0.5
30,0.455,0.505
31,0.483,0.503
32,0.47,0.478
33,0.466,0.513
34,0.463,0.493
35,0.487,0.497
36,0.448,0.512
37,0.47,0.5
38,0.415,0.525
39,0.431,0.509
40,0.434,0.481
