generation,epoch,gen_loss
0,0,0.5630383783681963
0,10,0.5410785786338947
0,20,0.5394362991195429
0,0,0.5630692405239591
0,10,0.5410258535928322
0,20,0.5394206009102318
0,0,0.5631547646374447
0,0,0.5632110831075869
0,10,0.5410559458084077
0,20,0.5394657345828395
1,0,0.6933055684298465
1,10,0.705981342016526
1,20,0.693300881499202
2,0,0.6932434926758397
2,10,0.6930731660071409
2,20,0.6931118549041029
3,0,0.6932947784896542
3,10,0.6931261020776985
3,20,0.7436147660438744
4,0,0.6932942273575555
4,10,0.6934421296530174
4,20,0.6905382867410498
5,0,0.6932954998839201
5,10,0.6931242298264548
5,20,0.6942053189348875
6,0,0.6933115168984206
6,10,0.6930719593879562
6,20,0.6931248162902376
7,0,0.6931684014838446
7,10,0.693112627421535
0,0,0.5516046482437061
0,10,0.5270866545022659
0,20,0.5253188150038697
1,0,0.5884573000875659
1,10,0.5743481049419574
1,20,0.5737572395998352
2,0,0.6027144690823255
2,10,0.5905609471055696
2,20,0.5902324675482774
3,0,0.6134399986304577
3,10,0.6033323820938105
3,20,0.6025654051523164
4,0,0.6226845418085467
4,10,0.6137548346517596
4,20,0.6137881027124588
5,0,0.6286860210762458
5,10,0.620888963857162
5,20,0.6205543302140146
6,0,0.6346935990893241
6,10,0.6276231864760132
6,20,0.6273003971707896
7,0,0.6403232067120526
7,10,0.6341357211459357
7,20,0.6338083759512542
8,0,0.6424466288830124
8,10,0.6369468549606185
8,20,0.6367825791942623
9,0,0.6463398936925069
9,10,0.640983134742428
9,20,0.6407205572105804
10,0,0.6498259222076374
10,10,0.6452568066569994
10,20,0.6451533260351082
11,0,0.6521082926986728
11,10,0.6477993159736477
11,20,0.6477395479549777
12,0,0.6531683548863204
12,0,0.6533066795775725
12,0,0.6532626130249141
12,10,0.6493253079740882
12,20,0.6492911173065878
13,0,0.6547263508791443
13,10,0.650968278822659
13,20,0.6509073409691172
14,0,0.6563802028086575
14,10,0.6529129564340385
14,20,0.6529145892358051
15,0,0.6592247230498671
15,10,0.6558728137012547
15,20,0.6558197294859767
16,0,0.6602288591411879
16,10,0.6573692767781282
16,20,0.6572847345012164
17,0,0.6617550741201677
17,10,0.659052016412687
17,20,0.6589411230722688
