proba_0,proba_1,generation
0.99367267,0.99646693,0
0.9922466,0.9899357,1
0.9879186,0.9879848,2
0.9847926,0.98804545,3
0.9843706,0.985066,4
0.9825944,0.9885802,5
0.9796176,0.98491794,6
0.9760007,0.98263544,7
0.9797658,0.9762243,8
0.9768522,0.9769852,9
0.9751587,0.9771151,10
0.9771626,0.97356933,11
0.9783722,0.97140336,12
0.97569525,0.97549456,13
0.97474045,0.97245985,14
0.9711842,0.9819494,15
0.9730084,0.9790706,16
0.9690036,0.9740381,17
0.97037107,0.9796423,18
0.97033536,0.9739547,19
0.9743482,0.9707829,20
0.9702564,0.9746762,21
0.96677166,0.97596157,22
0.96356094,0.968519,23
0.96747357,0.96212137,24
0.9647125,0.9659974,25
0.97028303,0.98075086,26
0.9658458,0.968,27
0.95776343,0.9690942,28
0.96403486,0.9721467,29
0.959697,0.9710376,30
0.96320415,0.9650072,31
0.9604379,0.96793014,32
0.96490955,0.9711986,33
0.9636842,0.96107924,34
0.96948266,0.96163195,35
0.95346606,0.9635373,36
0.9563609,0.95244765,37
0.95944417,0.95643723,38
0.95334506,0.95713806,39
