proba_0,proba_1,generation
0.9965209,0.9962546,0
0.99302375,0.99169177,1
0.99232584,0.99146134,2
0.98703456,0.98558944,3
0.98432463,0.989958,4
0.98119915,0.99101627,5
0.98303866,0.9868105,6
0.97786015,0.985189,7
0.98109984,0.98514926,8
0.97569585,0.97975117,9
0.980447,0.9786155,10
0.9721845,0.9814487,11
0.9702969,0.9791374,12
0.9736674,0.97833997,13
0.98026437,0.9760503,14
0.97014964,0.97649807,15
0.983082,0.96983063,16
0.9712973,0.96921563,17
0.9707515,0.97269326,18
0.97393143,0.9785273,19
0.96381205,0.97236395,20
0.9741453,0.9740814,21
0.9753083,0.971891,22
0.97248095,0.96711355,23
0.96797127,0.96911025,24
0.97081566,0.9692659,25
0.9693626,0.9662781,26
0.96547,0.9620595,27
0.95420116,0.9667231,28
0.95604414,0.96294534,29
0.96222466,0.96538365,30
0.9509999,0.96499664,31
0.9450823,0.96126074,32
0.9582091,0.9645354,33
0.9531811,0.9585818,34
0.957289,0.95331377,35
0.9493138,0.9556744,36
0.9493765,0.9602071,37
0.93258005,0.9663123,38
0.9458011,0.95619637,39
