generation,label_bal,color_bal
0,0.504,0.511
1,0.522,0.529
2,0.546,0.545
3,0.564,0.52
4,0.596,0.543
5,0.61,0.541
6,0.637,0.59
7,0.679,0.571
8,0.71,0.562
9,0.708,0.589
10,0.768,0.585
11,0.817,0.576
12,0.823,0.59
13,0.817,0.563
14,0.855,0.579
15,0.837,0.605
16,0.829,0.603
17,0.829,0.577
18,0.849,0.573
19,0.842,0.587
20,0.884,0.585
21,0.883,0.589
22,0.903,0.574
23,0.9,0.58
24,0.878,0.603
25,0.889,0.593
26,0.894,0.563
27,0.895,0.565
28,0.912,0.56
29,0.929,0.577
30,0.923,0.579
31,0.915,0.589
32,0.919,0.578
33,0.919,0.607
34,0.932,0.564
35,0.928,0.57
36,0.939,0.596
37,0.927,0.608
38,0.938,0.588
39,0.94,0.613
