generation,label_bal,color_bal
0,0.665,0.461
1,0.647,0.453
2,0.615,0.466
0,0.731,0.516
1,0.777,0.486
2,0.717,0.503
3,0.72,0.458
4,0.711,0.481
5,0.733,0.467
6,0.724,0.48
7,0.712,0.473
8,0.716,0.481
9,0.707,0.482
10,0.654,0.473
11,0.69,0.474
12,0.684,0.504
13,0.709,0.46
14,0.661,0.488
15,0.679,0.492
16,0.69,0.48
17,0.682,0.459
18,0.693,0.468
19,0.707,0.46
20,0.681,0.492
21,0.683,0.482
22,0.698,0.498
23,0.717,0.489
24,0.734,0.461
25,0.746,0.484
26,0.737,0.488
27,0.753,0.478
28,0.742,0.493
29,0.73,0.482
30,0.737,0.478
31,0.713,0.497
32,0.695,0.474
33,0.718,0.467
34,0.748,0.471
35,0.741,0.457
36,0.731,0.462
37,0.756,0.451
38,0.732,0.456
39,0.77,0.455
40,0.75,0.507
0,0.55,0.53
0,0.64,0.47
1,0.51,0.42
2,0.55,0.5
3,0.68,0.49
4,0.63,0.54
5,0.66,0.45
6,0.69,0.44
7,0.71,0.48
8,0.58,0.56
9,0.62,0.51
10,0.65,0.45
0,0.56,0.48
1,0.62,0.37
2,0.65,0.36
3,0.51,0.37
4,0.46,0.47
5,0.5,0.47
6,0.42,0.42
7,0.46,0.45
8,0.44,0.35
9,0.46,0.51
10,0.44,0.47
11,0.55,0.42
12,0.58,0.45
13,0.55,0.5
14,0.47,0.65
15,0.44,0.37
16,0.5,0.49
17,0.49,0.48
18,0.4,0.45
19,0.54,0.54
20,0.49,0.47
21,0.57,0.5
22,0.52,0.47
23,0.6,0.46
24,0.57,0.43
25,0.53,0.47
26,0.5,0.46
27,0.66,0.41
28,0.56,0.52
29,0.54,0.51
30,0.72,0.49
31,0.59,0.49
32,0.52,0.42
33,0.56,0.43
34,0.53,0.43
35,0.66,0.37
36,0.55,0.48
37,0.58,0.42
38,0.56,0.47
39,0.5,0.52
40,0.51,0.45
