generation,label_bal,color_bal
0,0.517,0.496
1,0.429,0.525
2,0.406,0.509
3,0.462,0.506
4,0.465,0.515
5,0.399,0.491
6,0.381,0.492
7,0.433,0.498
8,0.405,0.501
9,0.412,0.497
10,0.438,0.492
11,0.451,0.47
12,0.453,0.476
13,0.441,0.511
14,0.448,0.492
15,0.538,0.473
16,0.511,0.498
17,0.544,0.503
18,0.53,0.5
19,0.536,0.487
20,0.513,0.512
21,0.502,0.5
22,0.538,0.507
23,0.475,0.533
24,0.465,0.491
25,0.481,0.521
26,0.539,0.479
27,0.522,0.488
28,0.514,0.493
29,0.538,0.481
30,0.525,0.492
31,0.524,0.496
32,0.588,0.529
33,0.621,0.51
34,0.634,0.507
35,0.645,0.47
36,0.649,0.484
37,0.69,0.492
38,0.68,0.5
39,0.684,0.541
40,0.676,0.497
