proba_0,proba_1,generation
0.993187,0.9968443,0
0.9930644,0.9893429,1
0.9883835,0.9886956,2
0.987608,0.98535174,3
0.98207194,0.9831272,4
0.97703296,0.97854376,5
0.97990215,0.9821932,6
0.9713285,0.9848235,7
0.97796196,0.97851706,8
0.97944677,0.9824201,9
0.9765237,0.9808601,10
0.97135586,0.97185326,11
0.97664195,0.9772142,12
0.9702264,0.9731724,13
0.97237176,0.972899,14
0.9709354,0.97796,15
0.97738487,0.9684402,16
0.96673703,0.97436816,17
0.9655509,0.9776277,18
0.9639781,0.9732768,19
0.97276026,0.97153866,20
0.97190315,0.9754345,21
0.9688657,0.9682156,22
0.96295625,0.96695685,23
0.9679986,0.9639917,24
0.9683179,0.97094,25
0.96643037,0.9695049,26
0.9661601,0.97295576,27
0.9594105,0.9713914,28
0.962425,0.9650087,29
0.95668703,0.97254175,30
0.97189623,0.96426326,31
0.9606066,0.97096163,32
0.96384376,0.9645345,33
0.96776456,0.95904887,34
0.9651164,0.9700152,35
0.9509245,0.9678172,36
0.9488438,0.9562981,37
0.9569118,0.95655036,38
0.9488316,0.95495135,39
