generation,label_bal,color_bal
0,0.654,0.457
1,0.74,0.519
2,0.759,0.609
3,0.762,0.653
4,0.732,0.701
5,0.741,0.678
6,0.75,0.673
7,0.705,0.685
8,0.674,0.703
9,0.678,0.69
10,0.687,0.697
11,0.696,0.657
12,0.718,0.679
13,0.732,0.689
14,0.758,0.645
15,0.763,0.713
16,0.8,0.692
17,0.813,0.687
18,0.843,0.633
19,0.842,0.635
20,0.852,0.674
21,0.833,0.703
22,0.879,0.728
23,0.915,0.698
24,0.929,0.678
25,0.936,0.663
26,0.924,0.7
27,0.934,0.68
28,0.922,0.688
29,0.926,0.676
30,0.934,0.69
31,0.939,0.704
32,0.93,0.681
33,0.954,0.721
34,0.958,0.71
35,0.94,0.724
36,0.964,0.648
37,0.95,0.655
38,0.947,0.68
39,0.969,0.663
0,0.636,0.448
0,0.6,0.36
1,0.0,1.0
2,0.0,1.0
3,0.0,1.0
4,0.0,1.0
0,0.6,0.41
1,0.61,0.48
2,0.76,0.6
3,0.64,0.56
4,0.64,0.64
5,0.57,0.58
6,0.58,0.56
7,0.66,0.61
8,0.57,0.57
9,0.69,0.55
10,0.51,0.55
11,0.49,0.52
12,0.57,0.48
13,0.57,0.48
14,0.5,0.56
15,0.44,0.46
16,0.57,0.51
17,0.62,0.57
18,0.58,0.51
19,0.38,0.51
20,0.45,0.56
21,0.51,0.44
22,0.47,0.48
23,0.5,0.51
24,0.48,0.62
25,0.52,0.52
26,0.54,0.49
27,0.56,0.54
28,0.48,0.52
29,0.48,0.56
30,0.49,0.57
31,0.47,0.46
32,0.49,0.57
33,0.54,0.53
34,0.52,0.55
35,0.48,0.45
36,0.52,0.5
37,0.46,0.46
38,0.45,0.45
39,0.53,0.47
