generation,label_bal,color_bal
0,0.521,0.539
1,0.506,0.493
2,0.532,0.521
3,0.525,0.503
4,0.523,0.512
5,0.523,0.493
6,0.523,0.489
7,0.548,0.525
8,0.564,0.504
9,0.525,0.474
10,0.512,0.517
11,0.521,0.511
12,0.545,0.527
13,0.514,0.515
14,0.482,0.51
15,0.536,0.504
16,0.558,0.48
17,0.498,0.512
18,0.569,0.504
19,0.584,0.507
20,0.515,0.518
21,0.529,0.503
22,0.552,0.515
23,0.539,0.508
24,0.529,0.485
25,0.511,0.487
26,0.529,0.512
27,0.535,0.506
28,0.542,0.474
29,0.532,0.51
30,0.552,0.501
31,0.566,0.492
32,0.537,0.489
33,0.527,0.49
34,0.517,0.538
35,0.535,0.5
36,0.537,0.522
37,0.552,0.497
38,0.545,0.499
39,0.535,0.48
