proba_0,proba_1,generation
0.98143333,0.99272513,0
0.9827181,0.9859042,1
0.97297686,0.9874942,2
0.9717432,0.98426723,3
0.9715071,0.96941596,4
0.9557921,0.97307074,5
0.9671731,0.9667532,6
0.9423569,0.96148187,7
0.95369595,0.97208565,8
0.9440542,0.9644513,9
0.95901227,0.9669607,10
0.9338249,0.9556438,11
0.9309562,0.93283933,12
0.9493451,0.94240135,13
0.9513074,0.9326462,14
0.94429576,0.96084285,15
0.9426259,0.9331922,16
0.9379573,0.92603856,17
0.91398287,0.9337569,18
0.9426422,0.950836,19
0.9280455,0.95112383,20
0.9315218,0.9154922,21
0.9592069,0.9495172,22
0.9479944,0.9280429,23
0.9441799,0.9361658,24
0.89068866,0.96151114,25
0.90584594,0.9243355,26
0.9357304,0.90579414,27
0.89074767,0.9227999,28
0.89483184,0.94376177,29
0.9104185,0.9164384,30
0.9189197,0.9606476,31
0.90496606,0.9150913,32
0.9097731,0.9236676,33
0.89662933,0.9184906,34
0.9177544,0.9318527,35
0.936553,0.9087518,36
0.8667712,0.92738855,37
0.9302271,0.8862321,38
0.811132,0.8901986,39
